AIRPORT;APT_ICAO;YEAR;MONTH_NUM;NB_ASMA_FL;ASMA_REF_TIME_MIN;ADD_ASMA_TIME_MIN;NB_TAXI_OUT_FL;TAXI_OUT_REF_TIME_MIN;ADD_TAXI_OUT_TIME_MIN;NB_TAXI_IN_FL;TAXI_IN_REF_TIME_MIN;ADD_TAXI_IN_TIME_MIN;NB_DLY_DEP_FL;DLY_89_MIN;DLY_999_MIN;DLY_ZZZ_MIN;DLY_OTHER_MIN;UN_RPTED_DLY_MIN;OV_RPTED_DLY_MIN;DLY_89_PER_FL_MM;DLY_89_PER_FL_YY
BIKF;BIKF;2019;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BIKF;BIKF;2019;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EBBR;EBBR;2019;1;6844;73008,89500;17600,57167;8031;61236,50000;24422,50000;8122;33306,50000;10164,50000;8498;8467;0;17110;102271;6010;-3847;1,00;1,00
EBBR;EBBR;2019;2;6160;65970,98833;16510,74500;7311;55634,50000;20690,50000;7297;30012,40000;8328,60000;7628;5823;0;14214;75847;4935;-2292;0,76;0,76
EBBR;EBBR;2019;3;7097;76429,79000;22132,04333;8656;66576,50000;23761,50000;8474;35695,00000;9280,00000;8922;6808;0;22727;138363;8433;-3806;0,76;0,76
EBBR;EBBR;2019;4;7620;87429,13000;22468,10333;8615;71646,90000;25848,10000;8574;33617,90000;9977,10000;9737;7298;0;21975;150482;7341;-2367;0,75;0,75
EBBR;EBBR;2019;5;8263;90869,94167;21252,12500;9797;76616,60000;30726,40000;9905;39734,20000;11311,80000;10382;10442;0;23308;137480;7684;-1359;1,01;1,01
EBBR;EBBR;2019;6;8230;91488,11167;22382,30500;9756;76261,60000;32258,40000;9629;38759,10000;11891,90000;10312;5928;0;25009;173128;8707;-1883;0,57;0,57
EBBR;EBBR;2019;7;8686;95590,58917;21065,42750;10692;83021,60000;34321,40000;10620;42832,20000;13671,80000;11162;8072;0;28440;239565;12318;-3353;0,72;0,72
