AIRPORT;APT_ICAO;PHASE;YEAR;MONTH_NUM;PUNCT_CAT;NB_FLT;MONTHLY_TRAFIC
EBBR;EBBR;ARR;2025;4;[<-31];136;8520
EBBR;EBBR;ARR;2025;4;[>+61];313;8520
EBBR;EBBR;ARR;2025;5;[+ 5, +15];1714;9232
EBBR;EBBR;ARR;2025;5;[+16, +30];1121;9232
EBBR;EBBR;ARR;2025;5;[+31, +60];692;9232
EBBR;EBBR;ARR;2025;5;[- 4, + 4];2285;9232
EBBR;EBBR;ARR;2025;5;[- 5, -15];2190;9232
EBBR;EBBR;ARR;2025;5;[-16, -30];712;9232
EBBR;EBBR;ARR;2025;5;[<-31];125;9232
EBBR;EBBR;ARR;2025;5;[>+61];393;9232
EBBR;EBBR;ARR;2025;6;[+ 5, +15];1749;9121
EBBR;EBBR;ARR;2025;6;[+16, +30];1108;9121
EBBR;EBBR;ARR;2025;6;[+31, +60];762;9121
EBBR;EBBR;ARR;2025;6;[- 4, + 4];2158;9121
EBBR;EBBR;ARR;2025;6;[- 5, -15];1997;9121
EBBR;EBBR;ARR;2025;6;[-16, -30];678;9121
EBBR;EBBR;ARR;2025;6;[<-31];176;9121
EBBR;EBBR;ARR;2025;6;[>+61];493;9121
EBBR;EBBR;ARR;2025;7;[+ 5, +15];1897;9866
EBBR;EBBR;ARR;2025;7;[+16, +30];1411;9866
EBBR;EBBR;ARR;2025;7;[+31, +60];1163;9866
EBBR;EBBR;ARR;2025;7;[- 4, + 4];2136;9866
EBBR;EBBR;ARR;2025;7;[- 5, -15];1724;9866
EBBR;EBBR;ARR;2025;7;[-16, -30];618;9866
EBBR;EBBR;ARR;2025;7;[<-31];159;9866
EBBR;EBBR;ARR;2025;7;[>+61];758;9866
EBBR;EBBR;ARR;2025;8;[+ 5, +15];1994;9514
EBBR;EBBR;ARR;2025;8;[+16, +30];1464;9514
EBBR;EBBR;ARR;2025;8;[+31, +60];1002;9514
EBBR;EBBR;ARR;2025;8;[- 4, + 4];2090;9514
EBBR;EBBR;ARR;2025;8;[- 5, -15];1664;9514
EBBR;EBBR;ARR;2025;8;[-16, -30];558;9514
EBBR;EBBR;ARR;2025;8;[<-31];193;9514
EBBR;EBBR;ARR;2025;8;[>+61];549;9514
EBBR;EBBR;ARR;2025;9;[+ 5, +15];1819;9151
EBBR;EBBR;ARR;2025;9;[+16, +30];1248;9151
EBBR;EBBR;ARR;2025;9;[+31, +60];935;9151
EBBR;EBBR;ARR;2025;9;[- 4, + 4];1962;9151
EBBR;EBBR;ARR;2025;9;[- 5, -15];1699;9151
EBBR;EBBR;ARR;2025;9;[-16, -30];633;9151
EBBR;EBBR;ARR;2025;9;[<-31];153;9151
EBBR;EBBR;ARR;2025;9;[>+61];702;9151
EBBR;EBBR;ARR;2025;10;[+ 5, +15];1774;9048
EBBR;EBBR;ARR;2025;10;[+16, +30];1110;9048
EBBR;EBBR;ARR;2025;10;[+31, +60];767;9048
EBBR;EBBR;ARR;2025;10;[- 4, + 4];2227;9048
EBBR;EBBR;ARR;2025;10;[- 5, -15];1953;9048
EBBR;EBBR;ARR;2025;10;[-16, -30];631;9048
EBBR;EBBR;ARR;2025;10;[<-31];149;9048
EBBR;EBBR;ARR;2025;10;[>+61];437;9048
EBBR;EBBR;ARR;2025;11;[+ 5, +15];1239;7573
EBBR;EBBR;ARR;2025;11;[+16, +30];742;7573
EBBR;EBBR;ARR;2025;11;[+31, +60];430;7573
EBBR;EBBR;ARR;2025;11;[- 4, + 4];1649;7573
EBBR;EBBR;ARR;2025;11;[- 5, -15];1976;7573
EBBR;EBBR;ARR;2025;11;[-16, -30];989;7573
EBBR;EBBR;ARR;2025;11;[<-31];196;7573
EBBR;EBBR;ARR;2025;11;[>+61];352;7573
EBBR;EBBR;ARR;2025;12;[+ 5, +15];1303;7915
EBBR;EBBR;ARR;2025;12;[+16, +30];864;7915
EBBR;EBBR;ARR;2025;12;[+31, +60];568;7915
EBBR;EBBR;ARR;2025;12;[- 4, + 4];1698;7915
EBBR;EBBR;ARR;2025;12;[- 5, -15];1941;7915
EBBR;EBBR;ARR;2025;12;[-16, -30];982;7915
EBBR;EBBR;ARR;2025;12;[<-31];170;7915
EBBR;EBBR;ARR;2025;12;[>+61];389;7915
EBBR;EBBR;ARR;2026;1;[+ 5, +15];1244;7261
EBBR;EBBR;ARR;2026;1;[+16, +30];864;7261
EBBR;EBBR;ARR;2026;1;[+31, +60];614;7261
EBBR;EBBR;ARR;2026;1;[- 4, + 4];1409;7261
EBBR;EBBR;ARR;2026;1;[- 5, -15];1659;7261
EBBR;EBBR;ARR;2026;1;[-16, -30];830;7261
EBBR;EBBR;ARR;2026;1;[<-31];148;7261
EBBR;EBBR;ARR;2026;1;[>+61];493;7261
EBBR;EBBR;ARR;2026;2;[+ 5, +15];1238;7139
EBBR;EBBR;ARR;2026;2;[+16, +30];749;7139
EBBR;EBBR;ARR;2026;2;[+31, +60];435;7139
EBBR;EBBR;ARR;2026;2;[- 4, + 4];1611;7139
EBBR;EBBR;ARR;2026;2;[- 5, -15];1774;7139
EBBR;EBBR;ARR;2026;2;[-16, -30];839;7139
EBBR;EBBR;ARR;2026;2;[<-31];156;7139
EBBR;EBBR;ARR;2026;2;[>+61];337;7139
EBBR;EBBR;ARR;2026;3;[+ 5, +15];1222;7909
EBBR;EBBR;ARR;2026;3;[+16, +30];755;7909
EBBR;EBBR;ARR;2026;3;[+31, +60];430;7909
EBBR;EBBR;ARR;2026;3;[- 4, + 4];1846;7909
EBBR;EBBR;ARR;2026;3;[- 5, -15];2105;7909
EBBR;EBBR;ARR;2026;3;[-16, -30];1084;7909
EBBR;EBBR;ARR;2026;3;[<-31];221;7909
EBBR;EBBR;ARR;2026;3;[>+61];246;7909
EBBR;EBBR;ARR;2026;4;[+ 5, +15];1728;8692
EBBR;EBBR;ARR;2026;4;[+16, +30];999;8692
EBBR;EBBR;ARR;2026;4;[+31, +60];598;8692
EBBR;EBBR;ARR;2026;4;[- 4, + 4];2275;8692
EBBR;EBBR;ARR;2026;4;[- 5, -15];1985;8692
EBBR;EBBR;ARR;2026;4;[-16, -30];652;8692
EBBR;EBBR;ARR;2026;4;[<-31];142;8692
EBBR;EBBR;ARR;2026;4;[>+61];313;8692
EBBR;EBBR;ARR;2026;5;[+ 5, +15];1826;9287
EBBR;EBBR;ARR;2026;5;[+16, +30];1019;9287
EBBR;EBBR;ARR;2026;5;[+31, +60];665;9287
EBBR;EBBR;ARR;2026;5;[- 4, + 4];2366;9287
EBBR;EBBR;ARR;2026;5;[- 5, -15];2139;9287
EBBR;EBBR;ARR;2026;5;[-16, -30];676;9287
EBBR;EBBR;ARR;2026;5;[<-31];136;9287
EBBR;EBBR;ARR;2026;5;[>+61];460;9287
EBBR;EBBR;DEP;2019;1;[+ 5, +15];2387;8526
EBBR;EBBR;DEP;2019;1;[+16, +30];1204;8526
EBBR;EBBR;DEP;2019;1;[+31, +60];645;8526
EBBR;EBBR;DEP;2019;1;[- 4, + 4];3236;8526
EBBR;EBBR;DEP;2019;1;[- 5, -15];546;8526
EBBR;EBBR;DEP;2019;1;[-16, -30];18;8526
EBBR;EBBR;DEP;2019;1;[<-31];42;8526
EBBR;EBBR;DEP;2019;1;[>+61];448;8526
EBBR;EBBR;DEP;2019;2;[+ 5, +15];2252;7664
EBBR;EBBR;DEP;2019;2;[+16, +30];850;7664
EBBR;EBBR;DEP;2019;2;[+31, +60];500;7664
EBBR;EBBR;DEP;2019;2;[- 4, + 4];3236;7664
EBBR;EBBR;DEP;2019;2;[- 5, -15];462;7664
EBBR;EBBR;DEP;2019;2;[-16, -30];28;7664
EBBR;EBBR;DEP;2019;2;[<-31];45;7664
EBBR;EBBR;DEP;2019;2;[>+61];291;7664
EBBR;EBBR;DEP;2019;3;[+ 5, +15];2556;8948
EBBR;EBBR;DEP;2019;3;[+16, +30];1428;8948
EBBR;EBBR;DEP;2019;3;[+31, +60];1009;8948
EBBR;EBBR;DEP;2019;3;[- 4, + 4];2828;8948
EBBR;EBBR;DEP;2019;3;[- 5, -15];339;8948
EBBR;EBBR;DEP;2019;3;[-16, -30];19;8948
EBBR;EBBR;DEP;2019;3;[<-31];62;8948
EBBR;EBBR;DEP;2019;3;[>+61];707;8948
EBBR;EBBR;DEP;2019;4;[+ 5, +15];2877;9742
EBBR;EBBR;DEP;2019;4;[+16, +30];1907;9742
EBBR;EBBR;DEP;2019;4;[+31, +60];1280;9742
EBBR;EBBR;DEP;2019;4;[- 4, + 4];2806;9742
EBBR;EBBR;DEP;2019;4;[- 5, -15];281;9742
EBBR;EBBR;DEP;2019;4;[-16, -30];23;9742
EBBR;EBBR;DEP;2019;4;[<-31];42;9742
EBBR;EBBR;DEP;2019;4;[>+61];526;9742
EBBR;EBBR;DEP;2019;5;[+ 5, +15];3025;10420
EBBR;EBBR;DEP;2019;5;[+16, +30];1639;10420
EBBR;EBBR;DEP;2019;5;[+31, +60];1035;10420
EBBR;EBBR;DEP;2019;5;[- 4, + 4];3715;10420
EBBR;EBBR;DEP;2019;5;[- 5, -15];360;10420
EBBR;EBBR;DEP;2019;5;[-16, -30];28;10420
EBBR;EBBR;DEP;2019;5;[<-31];59;10420
EBBR;EBBR;DEP;2019;5;[>+61];559;10420
EBBR;EBBR;DEP;2019;6;[+ 5, +15];3105;10341
EBBR;EBBR;DEP;2019;6;[+16, +30];2004;10341
EBBR;EBBR;DEP;2019;6;[+31, +60];1370;10341
EBBR;EBBR;DEP;2019;6;[- 4, + 4];2828;10341
EBBR;EBBR;DEP;2019;6;[- 5, -15];220;10341
EBBR;EBBR;DEP;2019;6;[-16, -30];35;10341
EBBR;EBBR;DEP;2019;6;[<-31];64;10341
EBBR;EBBR;DEP;2019;6;[>+61];715;10341
EBBR;EBBR;DEP;2019;7;[+ 5, +15];3278;11201
EBBR;EBBR;DEP;2019;7;[+16, +30];2357;11201
EBBR;EBBR;DEP;2019;7;[+31, +60];1761;11201
EBBR;EBBR;DEP;2019;7;[- 4, + 4];2510;11201
EBBR;EBBR;DEP;2019;7;[- 5, -15];160;11201
EBBR;EBBR;DEP;2019;7;[-16, -30];23;11201
EBBR;EBBR;DEP;2019;7;[<-31];38;11201
EBBR;EBBR;DEP;2019;7;[>+61];1074;11201
EBBR;EBBR;DEP;2019;8;[+ 5, +15];3261;10719
EBBR;EBBR;DEP;2019;8;[+16, +30];2050;10719
EBBR;EBBR;DEP;2019;8;[+31, +60];1256;10719
EBBR;EBBR;DEP;2019;8;[- 4, + 4];3181;10719
EBBR;EBBR;DEP;2019;8;[- 5, -15];254;10719
EBBR;EBBR;DEP;2019;8;[-16, -30];10;10719
EBBR;EBBR;DEP;2019;8;[<-31];32;10719
EBBR;EBBR;DEP;2019;8;[>+61];675;10719
