AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;CONFIGURATION;SHARE_PCT
BIKF;BIKF;KEF;Keflavik;Iceland;Keflavik (BIKF);Keflavik (KEF);2025;ARR:19 - DEP:19;0,4913961176570314
BIKF;BIKF;KEF;Keflavik;Iceland;Keflavik (BIKF);Keflavik (KEF);2025;ARR:28 - DEP:28;0,0727303551750445
BIKF;BIKF;KEF;Keflavik;Iceland;Keflavik (BIKF);Keflavik (KEF);2025;ARR:10 - DEP:10;0,1309654997033144
BIKF;BIKF;KEF;Keflavik;Iceland;Keflavik (BIKF);Keflavik (KEF);2025;ARR:01 - DEP:01;0,2839705009748241
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2025;ARR:25L - DEP:25R;0,1643900141309467
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2025;ARR:25L - ARR:25R - DEP:25R;0,4326895902025435
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2025;ARR:01 - DEP:07R;0,1195478097032501
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2025;ARR:25R - DEP:19 - DEP:25R;0,0602920395666510
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2025;ARR:07L - DEP:07R;0,0504945831370702
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2025;ARR:25R - DEP:25R;0,0493641073951955
EBCI;EBCI;CRL;Brussels - Charleroi;Belgium;Brussels - Charleroi (EBCI);Brussels - Charleroi (CRL);2025;ARR:24 - DEP:24;0,8232898574651917
EBCI;EBCI;CRL;Brussels - Charleroi;Belgium;Brussels - Charleroi (EBCI);Brussels - Charleroi (CRL);2025;ARR:06 - DEP:06;0,1758846513675637
EBLG;EBLG;LGG;Liège;Belgium;Liège (EBLG);Liège (LGG);2025;NA;NA
EDDB;EDDB;BER;Berlin - Brandenburg;Germany;Berlin - Brandenburg (EDDB);Berlin - Brandenburg (BER);2025;ARR:24L - ARR:24R - DEP:24L - DEP:24R;0,6188565697091273
EDDB;EDDB;BER;Berlin - Brandenburg;Germany;Berlin - Brandenburg (EDDB);Berlin - Brandenburg (BER);2025;ARR:06L - ARR:06R - DEP:06L - DEP:06R;0,2424416105459234
EDDB;EDDB;BER;Berlin - Brandenburg;Germany;Berlin - Brandenburg (EDDB);Berlin - Brandenburg (BER);2025;ARR:24R - DEP:24L;0,0737928069924058
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2025;ARR:22 - DEP:22;0,7502744237102085
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2025;ARR:04 - DEP:04;0,2469813391877058
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2025;ARR:27 - DEP:27;0,5922920892494929
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2025;ARR:09 - DEP:09;0,4056795131845841
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2025;ARR:07L - ARR:07R - DEP:07C - DEP:18;0,4694085656016315
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2025;ARR:25C - ARR:25L - ARR:25R - DEP:18 - DEP:25C;0,3345513256288239
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2025;ARR:25L - ARR:25R - DEP:18 - DEP:25C;0,1533820530251529
