AIRPORT;PHASE;YEAR;RULE_NAME;RULE_DESCRIPTION;NB_FLIGHT
LEBL;DEP;2016;Scheduled;Traditional Scheduled;3068
LFMN;DEP;2016;Scheduled;Traditional Scheduled;1828
EHEH;DEP;2016;Lowcost;Lowcost;972
LFLL;DEP;2016;Lowcost;Lowcost;2186
LKPR;DEP;2016;Non-Scheduled;Charter;91
EHAM;DEP;2016;Lowcost;Lowcost;3659
LIPE;DEP;2016;Lowcost;Lowcost;1074
EIDW;DEP;2016;Scheduled;Traditional Scheduled;3830
ESSA;DEP;2016;Scheduled;Traditional Scheduled;5675
EPWA;DEP;2016;Scheduled;Traditional Scheduled;4111
LFML;DEP;2016;Lowcost;Lowcost;939
LZIB;DEP;2016;Lowcost;Lowcost;288
EDDW;DEP;2016;Scheduled;Traditional Scheduled;528
EVRA;DEP;2016;Scheduled;Traditional Scheduled;498
GMMX;DEP;2016;Lowcost;Lowcost;674
EDDN;DEP;2016;Lowcost;Lowcost;619
EGPH;DEP;2016;Non-Scheduled;Charter;40
LYBE;DEP;2016;Lowcost;Lowcost;166
LIML;DEP;2016;Lowcost;Lowcost;584
ENZV;DEP;2016;Scheduled;Traditional Scheduled;1407
ENBR;DEP;2016;Business;Business Aviation;73
EDDS;DEP;2016;Scheduled;Traditional Scheduled;1214
LEVC;DEP;2016;Lowcost;Lowcost;622
LCLK;DEP;2016;Scheduled;Traditional Scheduled;808
LFPO;DEP;2016;Other;Other Types;86
LIMC;DEP;2016;Cargo;All-Cargo;338
ENTC;DEP;2016;Lowcost;Lowcost;160
EPKT;DEP;2016;Business;Business Aviation;32
LFML;DEP;2016;Scheduled;Traditional Scheduled;1900
LCLK;DEP;2016;Business;Business Aviation;122
BIKF;DEP;2016;Lowcost;Lowcost;279
LTBA;DEP;2016;Business;Business Aviation;248
LBSF;DEP;2016;Cargo;All-Cargo;59
LLBG;DEP;2016;Cargo;All-Cargo;196
LEBB;DEP;2016;Non-Scheduled;Charter;30
LFBO;DEP;2016;Business;Business Aviation;117
LIMF;DEP;2016;Lowcost;Lowcost;477
LGAV;DEP;2016;Lowcost;Lowcost;967
LEPA;DEP;2016;Other;Other Types;14
LICC;DEP;2016;Business;Business Aviation;36
LSGG;DEP;2016;Cargo;All-Cargo;70
EDDH;DEP;2016;Cargo;All-Cargo;32
EDDB;DEP;2016;Cargo;All-Cargo;70
EPWA;DEP;2016;Cargo;All-Cargo;97
EIDW;DEP;2016;Cargo;All-Cargo;160
LBSF;DEP;2016;Lowcost;Lowcost;399
LFPO;DEP;2016;Lowcost;Lowcost;2571
LDZA;DEP;2016;Scheduled;Traditional Scheduled;1146
EGLC;DEP;2016;Lowcost;Lowcost;350
EGPD;DEP;2016;Scheduled;Traditional Scheduled;1784
EKCH;DEP;2016;Lowcost;Lowcost;2567
LFPG;DEP;2016;Scheduled;Traditional Scheduled;13610
LTBJ;DEP;2016;Lowcost;Lowcost;1758
EGGW;DEP;2016;Business;Business Aviation;1078
ENTC;DEP;2016;Scheduled;Traditional Scheduled;1109
LFPG;DEP;2016;Lowcost;Lowcost;2100
LTBA;DEP;2016;Scheduled;Traditional Scheduled;14517
LIPZ;DEP;2016;Other;Other Types;15
LCLK;DEP;2016;Scheduled;Traditional Scheduled;754
LEMD;DEP;2016;Lowcost;Lowcost;3601
EGLC;DEP;2016;Scheduled;Traditional Scheduled;2991
LCLK;DEP;2016;Cargo;All-Cargo;35
EGGW;DEP;2016;Lowcost;Lowcost;2984
ESSB;DEP;2016;Scheduled;Traditional Scheduled;1905
EGPF;DEP;2016;Cargo;All-Cargo;20
LIME;DEP;2016;Lowcost;Lowcost;2246
LOWW;DEP;2016;Lowcost;Lowcost;1750
LFMN;DEP;2016;Business;Business Aviation;636
LPPT;DEP;2016;Lowcost;Lowcost;1313
GCFV;DEP;2016;Scheduled;Traditional Scheduled;769
EDDN;DEP;2016;Other;Other Types;66
LGIR;DEP;2016;Scheduled;Traditional Scheduled;332
LIRF;DEP;2016;Lowcost;Lowcost;2509
LIRA;DEP;2016;Business;Business Aviation;531
LEMD;DEP;2016;Business;Business Aviation;414
EDDR;DEP;2016;Scheduled;Traditional Scheduled;104
LOWW;DEP;2016;Business;Business Aviation;492
EGPF;DEP;2016;Business;Business Aviation;112
LGTS;DEP;2016;Non-Scheduled;Charter;7
EICK;DEP;2016;Non-Scheduled;Charter;51
LEBB;DEP;2016;Scheduled;Traditional Scheduled;970
LTAI;DEP;2016;Non-Scheduled;Charter;142
EPWA;DEP;2016;Non-Scheduled;Charter;159
LFBO;DEP;2016;Other;Other Types;119
EDDB;DEP;2016;Scheduled;Traditional Scheduled;312
EFHK;DEP;2016;Cargo;All-Cargo;225
LBSF;DEP;2016;Military;Military;28
LIML;DEP;2016;Other;Other Types;32
EDDC;DEP;2016;Scheduled;Traditional Scheduled;354
