month,side,truth,predicted,n,apart_nm
2024-06,ades,LICC,LICZ,225,7.8999826449172525
2024-06,adep,LTBJ,LTBL,174,14.939964094880144
2024-06,adep,LIRN,LIRM,170,14.13570814805086
2024-06,ades,LFLL,LFXA,158,18.58587792099562
2024-06,ades,LIRN,LIRM,118,14.13570814805086
2024-06,adep,LPPD,OOA,115,10807.282931871372
2024-06,ades,LTBJ,LTBL,113,14.939964094880144
2024-06,ades,LFLL,LFLY,109,6.1266118542731665
2024-06,ades,LLBG,OLBA,90,112.72129451337825
2024-06,adep,LCLK,OLBA,83,111.97351918305228
2024-06,adep,EPGD,EPCE,69,24.59486572903267
2024-06,ades,LPPD,OOA,65,10807.282931871372
2024-06,ades,LCLK,OLBA,61,111.97351918305228
2024-06,ades,LEBB,LEVT,50,26.40773447366533
2024-06,ades,EPGD,EPMB,46,31.574973650065647
2024-06,ades,UDYZ,UDSG,43,43.698892531068424
2024-06,adep,UDYZ,UDYE,39,3.4766780342012193
2024-06,adep,LIEE,LIED,37,7.243194523246613
2024-06,ades,EPGD,EPCE,37,24.59486572903267
2024-06,ades,HECA,HE42,36,31.302560026947837
2024-06,ades,ENZV,ENHD,34,31.09269352103867
2024-06,adep,GMME,GMMY,33,16.74564093101195
2024-06,ades,ENTC,OOA,32,10807.282931871372
2024-06,adep,OJAI,OLBA,32,128.480716787818
2024-06,adep,ENTC,OOA,30,10807.282931871372
2024-06,ades,OJAI,OLBA,30,128.480716787818
2024-06,ades,EGLL,EGLC,28,19.372073297764167
2024-06,ades,GMME,GMMY,24,16.74564093101195
2024-06,adep,ENLK,ENBO,24,55.75594807637389
2024-06,ades,ENLK,ENBO,23,55.75594807637389
2024-06,ades,ENSK,ENBO,22,80.06151693595844
2024-06,adep,ENSK,ENBO,21,80.06151693595844
2024-06,adep,ENSH,ENBO,17,58.89155736069951
2024-06,ades,ENSH,ENBO,17,58.89155736069951
2024-06,ades,LIEE,LIET,17,49.51232728055796
2024-06,adep,LLBG,OLBA,17,112.72129451337825
2024-06,ades,LFML,LFMY,16,11.060167842083253
2024-06,ades,LIRN,LIRI,16,32.41553384522536
2024-06,adep,LICC,LICZ,16,7.8999826449172525
2024-06,ades,UUWW,OOA,15,10807.282931871372
2025-06,ades,LICC,LICZ,268,7.8999826449172525
2025-06,adep,LTBJ,LTBL,187,14.939964094880144
2025-06,adep,LIRN,LIRM,163,14.13570814805086
2025-06,ades,LIRN,LIRM,112,14.13570814805086
2025-06,adep,LIEE,LIED,93,7.243194523246613
2025-06,ades,GCLP,GCXO,82,60.39520172918539
2025-06,ades,LPPD,OOA,71,10807.282931871372
2025-06,ades,LEBB,LEVT,70,26.40773447366533
2025-06,adep,LICC,LICZ,64,7.8999826449172525
2025-06,ades,OOA,BIKF,63,10807.282931871372
2025-06,ades,LIEE,LIED,63,7.243194523246613
2025-06,ades,HECA,HEAZ,59,2.258880175006987
2025-06,adep,LPPD,OOA,49,10807.282931871372
2025-06,ades,LTFM,LTBA,46,18.655518436401927
2025-06,ades,ENTC,OOA,43,10807.282931871372
2025-06,ades,OJAI,OJAM,42,15.016284258904033
2025-06,ades,LTBJ,LTBL,38,14.939964094880144
2025-06,ades,OOA,GMMN,38,10807.282931871372
2025-06,adep,ENTC,OOA,36,10807.282931871372
2025-06,adep,OOA,GMMN,35,10807.282931871372
2025-06,ades,LEMD,GCXO,35,956.7070666777935
2025-06,ades,HECA,HE42,34,31.302560026947837
2025-06,adep,GMME,GMMY,33,16.74564093101195
2025-06,ades,OOA,UGTB,26,10807.282931871372
2025-06,ades,LUKK,LRIA,26,55.69053830230624
2025-06,adep,LPPT,LPAR,24,7.874062586563151
2025-06,ades,GCFV,GCXO,23,130.79582657757143
2025-06,ades,LRIA,LRSV,22,59.82451357706422
2025-06,ades,GCRR,GCXO,22,146.7468798537367
2025-06,adep,OOA,UGTB,21,10807.282931871372
2025-06,adep,GCLP,GCXO,19,60.39520172918539
2025-06,ades,LEBB,LEPP,19,63.992911972273625
2025-06,adep,HECA,HE42,19,31.302560026947837
2025-06,adep,LRCL,LRCT,19,18.92880850813698
2025-06,ades,LTFM,LTBU,18,37.630969871154505
2025-06,ades,LEBB,LESO,18,49.0286958909764
2025-06,ades,GMME,GMMY,18,16.74564093101195
2025-06,adep,ENLK,ENBO,18,55.75594807637389
2025-06,ades,ENLK,ENBO,18,55.75594807637389
2025-06,adep,OOA,BIKF,18,10807.282931871372
