airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
OOA,7964,408,155,281,arrivals,0.01946258161727775,0.035283776996484176
OOA,7892,974,627,701,departures,0.07944754181449569,0.08882412569690826
LTFM,2282,2209,2202,2211,departures,0.964943032427695,0.9688869412795793
LTFM,2258,1699,1645,1647,arrivals,0.7285208148804252,0.729406554472985
EHAM,2148,2143,2143,2165,departures,0.9976722532588455,1.0079143389199254
EHAM,2136,1774,1762,1766,arrivals,0.8249063670411985,0.8267790262172284
EDDF,2094,2083,2082,2087,departures,0.994269340974212,0.9966571155682904
EDDF,2091,1616,1603,1609,arrivals,0.7666188426590148,0.7694882831181253
LFPG,2084,2064,2060,2071,departures,0.9884836852207294,0.9937619961612284
LFPG,2066,1556,1540,1546,arrivals,0.7454017424975798,0.7483059051306873
EGLL,2001,1989,1988,2024,departures,0.993503248375812,1.0114942528735633
EGLL,1986,1162,1149,1183,arrivals,0.5785498489425982,0.595669687814703
LEMD,1786,1384,1338,1357,arrivals,0.7491601343784995,0.7597984322508399
LEMD,1773,1760,1759,1761,departures,0.9921037789058094,0.9932318104906938
LEBL,1597,1432,1408,1411,arrivals,0.8816530995616781,0.8835316217908579
LEBL,1591,1580,1579,1582,departures,0.9924575738529227,0.994343180389692
EDDM,1573,1564,1564,1567,departures,0.9942784488239034,0.996185632549269
EDDM,1571,1320,1311,1313,arrivals,0.8345003182686187,0.8357733927434755
LIRF,1449,1444,1444,1445,departures,0.9965493443754313,0.9972394755003451
LTAI,1437,1014,990,994,arrivals,0.6889352818371608,0.6917188587334725
LEPA,1436,1387,1382,1386,arrivals,0.9623955431754875,0.9651810584958217
LTAI,1435,1385,1380,1387,departures,0.9616724738675958,0.9665505226480836
LIRF,1433,1191,1186,1189,arrivals,0.8276343335659456,0.8297278436845779
LEPA,1417,1400,1400,1401,departures,0.9880028228652082,0.9887085391672548
LGAV,1317,1110,1099,1128,arrivals,0.8344722854973424,0.856492027334852
LGAV,1306,1253,1253,1280,departures,0.9594180704441041,0.9800918836140888
