accuracy,angle_deg,answered,block_correct,block_flights,correct,ratio,recall_of_recoverable,side,window_min,wrong
0.3058823529411765,1,85,3620,13419,26,0.4406779661016949,0.0071823204419889505,arrival,2,59
0.2732919254658385,2,161,3620,13419,44,0.37606837606837606,0.012154696132596685,arrival,2,117
0.34615384615384615,3,260,3620,13419,90,0.5294117647058824,0.024861878453038673,arrival,2,170
0.31699346405228757,4,306,3620,13419,97,0.46411483253588515,0.02679558011049724,arrival,2,209
0.29222520107238603,5,373,3620,13419,109,0.4128787878787879,0.03011049723756906,arrival,2,264
0.2787878787878788,7,495,3620,13419,138,0.3865546218487395,0.03812154696132597,arrival,2,357
0.2576419213973799,10,687,3620,13419,177,0.34705882352941175,0.04889502762430939,arrival,2,510
0.2591170825335892,15,1042,3620,13419,270,0.34974093264248707,0.07458563535911603,arrival,2,772
0.2482468443197756,20,1426,3620,13419,354,0.3302238805970149,0.09779005524861878,arrival,2,1072
0.238253178551686,25,1809,3620,13419,431,0.3127721335268505,0.11906077348066299,arrival,2,1378
0.22664282521233794,30,2237,3620,13419,507,0.2930635838150289,0.14005524861878452,arrival,2,1730
0.23076923076923078,40,2912,3620,13419,672,0.3,0.1856353591160221,arrival,2,2240
0.2296858071505959,50,3692,3620,13419,848,0.2981715893108298,0.23425414364640884,arrival,2,2844
0.22181400688863376,60,4355,3620,13419,966,0.2850398347595161,0.2668508287292818,arrival,2,3389
0.22907213268659052,90,6391,3620,13419,1464,0.29713821798254514,0.4044198895027624,arrival,2,4927
0.37623762376237624,1,101,3629,13434,38,0.6031746031746031,0.010471204188481676,arrival,3,63
0.32978723404255317,2,188,3629,13434,62,0.49206349206349204,0.017084596307522733,arrival,3,126
0.3680555555555556,3,288,3629,13434,106,0.5824175824175825,0.029209148525764672,arrival,3,182
0.3362573099415205,4,342,3629,13434,115,0.5066079295154186,0.03168917057040507,arrival,3,227
0.31295843520782396,5,409,3629,13434,128,0.4555160142348754,0.03527142463488565,arrival,3,281
0.3030852994555354,7,551,3629,13434,167,0.4348958333333333,0.04601818682832736,arrival,3,384
0.2868525896414343,10,753,3629,13434,216,0.4022346368715084,0.059520529071369524,arrival,3,537
0.27855887521968364,15,1138,3629,13434,317,0.3861144945188794,0.08735188757233397,arrival,3,821
0.26380766731643923,20,1539,3629,13434,406,0.35834068843777583,0.1118765500137779,arrival,3,1133
0.25247267048412286,25,1921,3629,13434,485,0.33774373259052926,0.13364563240562138,arrival,3,1436
0.23797360578969776,30,2349,3629,13434,559,0.31229050279329607,0.15403692477266465,arrival,3,1790
0.23903725684141114,40,3033,3629,13434,725,0.3141247833622184,0.19977955359603197,arrival,3,2308
0.2357404500261643,50,3822,3629,13434,901,0.30845600821636426,0.2482777624689997,arrival,3,2921
0.22578490313961255,60,4491,3629,13434,1014,0.2916307161345988,0.2794158170294847,arrival,3,3477
0.2310646796742971,90,6509,3629,13434,1504,0.3004995004995005,0.4144392394599063,arrival,3,5005
0.73767258382643,1,507,3644,13457,374,2.81203007518797,0.1026344676180022,arrival,5,133
0.6979166666666666,2,672,3644,13457,469,2.310344827586207,0.12870472008781558,arrival,5,203
0.677819083023544,3,807,3644,13457,547,2.103846153846154,0.15010976948408342,arrival,5,260
0.6615384615384615,4,910,3644,13457,602,1.9545454545454546,0.16520307354555433,arrival,5,308
0.6405163853028798,5,1007,3644,13457,645,1.781767955801105,0.1770032930845225,arrival,5,362
0.6068734283319362,7,1193,3644,13457,724,1.5437100213219617,0.1986827661909989,arrival,5,469
0.5699588477366255,10,1458,3644,13457,831,1.325358851674641,0.22804610318331503,arrival,5,627
0.540356394129979,15,1908,3644,13457,1031,1.1755986316989737,0.2829308452250274,arrival,5,877
0.5314516129032258,20,2480,3644,13457,1318,1.1342512908777969,0.36169045005488476,arrival,5,1162
0.5099451303155007,25,2916,3644,13457,1487,1.040587823652904,0.4080680570801317,arrival,5,1429
0.4793536804308797,30,3342,3644,13457,1602,0.9206896551724137,0.43962678375411635,arrival,5,1740
0.43661971830985913,40,4047,3644,13457,1767,0.775,0.4849066959385291,arrival,5,2280
0.40716405256464605,50,4718,3644,13457,1921,0.6868072935287808,0.5271679473106476,arrival,5,2797
0.38281397544853635,60,5295,3644,13457,2027,0.6202570379436965,0.5562568605927553,arrival,5,3268
0.3283498672628196,90,7157,3644,13457,2350,0.48887039733721654,0.6448957189901208,arrival,5,4807
0.7586980920314254,1,891,3659,13498,676,3.144186046511628,0.18474993167532114,arrival,7,215
0.7268683274021353,2,1124,3659,13498,817,2.6612377850162865,0.22328505056026238,arrival,7,307
0.7157816005983545,3,1337,3659,13498,957,2.518421052631579,0.26154687072970756,arrival,7,380
0.7101542416452442,4,1556,3659,13498,1105,2.450110864745011,0.3019950806231211,arrival,7,451
0.7041387024608501,5,1788,3659,13498,1259,2.379962192816635,0.3440830828095108,arrival,7,529
0.6759090909090909,7,2200,3659,13498,1487,2.085553997194951,0.40639518994260726,arrival,7,713
0.6358274972355327,10,2713,3659,13498,1725,1.7459514170040487,0.47144028423066414,arrival,7,988
0.5872127283441367,15,3394,3659,13498,1993,1.422555317630264,0.5446843399836021,arrival,7,1401
0.5483383685800605,20,3972,3659,13498,2178,1.214046822742475,0.5952446023503689,arrival,7,1794
0.5206000895656068,25,4466,3659,13498,2325,1.0859411489957964,0.6354195135282864,arrival,7,2141
0.4908321579689704,30,4963,3659,13498,2436,0.96398891966759,0.6657556709483465,arrival,7,2527
0.4508620689655172,40,5800,3659,13498,2615,0.8210361067503925,0.7146761410221372,arrival,7,3185
0.4166160388821385,50,6584,3659,13498,2743,0.7141369435042958,0.74965837660563,arrival,7,3841
0.3848989623156745,60,7324,3659,13498,2819,0.625749167591565,0.7704290789833288,arrival,7,4505
0.32817438692098094,90,9175,3659,13498,3011,0.48848150551589875,0.822902432358568,arrival,7,6164
0.6655913978494624,1,930,3674,13534,619,1.9903536977491962,0.16848121937942298,arrival,10,311
0.7104100946372239,2,1585,3674,13534,1126,2.4531590413943354,0.30647795318454,arrival,10,459
0.7068466730954677,3,2074,3674,13534,1466,2.411184210526316,0.3990201415351116,arrival,10,608
0.6794013391098858,4,2539,3674,13534,1725,2.119164619164619,0.46951551442569406,arrival,10,814
0.6572511195315192,5,2903,3674,13534,1908,1.9175879396984925,0.5193249863908547,arrival,10,995
0.6229172756503947,7,3421,3674,13534,2131,1.651937984496124,0.5800217746325531,arrival,10,1290
0.5835183814458426,10,4053,3674,13534,2365,1.4010663507109005,0.6437125748502994,arrival,10,1688
0.5320603015075377,15,4975,3674,13534,2647,1.1370274914089347,0.7204681545998911,arrival,10,2328
0.497140876797782,20,5771,3674,13534,2869,0.9886285320468642,0.7808927599346761,arrival,10,2902
0.4673157162726008,25,6471,3674,13534,3024,0.8772845953002611,0.8230811105062602,arrival,10,3447
0.43682814463213737,30,7163,3674,13534,3129,0.7756569162121963,0.851660315732172,arrival,10,4034
0.3909222248976643,40,8306,3674,13534,3247,0.6418264479146076,0.8837778987479586,arrival,10,5059
0.3595797682226795,50,9233,3674,13534,3320,0.5614747167258582,0.9036472509526402,arrival,10,5913
0.3415876897992459,60,9813,3674,13534,3352,0.5188051385234483,0.9123571039738705,arrival,10,6461
0.3091530915309153,90,11111,3674,13534,3435,0.4474986972381449,0.9349482852476865,arrival,10,7676
0.6768086544962812,1,1479,3677,13550,1001,2.094142259414226,0.2722327984770193,arrival,15,478
0.6635367762128326,2,2556,3677,13550,1696,1.972093023255814,0.4612455806363884,arrival,15,860
0.6417226634086745,3,3274,3677,13550,2101,1.7911338448422847,0.5713897198803373,arrival,15,1173
