apt_type,n_truth,n_answered,n_correct,n_aerodromes,role,coverage,accuracy,overall
large_airport,80683,61411,59120,331,arrivals,0.7611392734528959,0.96269397990588,0.7327441964230383
out of area,7964,408,155,1,arrivals,0.051230537418382724,0.3799019607843137,0.01946258161727775
medium_airport,5983,4480,4012,346,arrivals,0.748788233327762,0.8955357142857143,0.6705666053819155
small_airport,352,203,0,70,arrivals,0.5767045454545454,0.0,0.0
heliport,134,49,0,58,arrivals,0.3656716417910448,0.0,0.0
large_airport,80661,71278,70663,331,departures,0.8836736464958282,0.9913718117792306,0.8760491439481286
out of area,7892,974,627,1,departures,0.1234161175874303,0.6437371663244353,0.07944754181449569
medium_airport,6069,4747,4377,352,departures,0.7821716922062942,0.9220560353907731,0.7212061295106278
small_airport,361,179,0,76,departures,0.49584487534626037,0.0,0.0
heliport,133,52,0,65,departures,0.39097744360902253,0.0,0.0
