band,role,aerodromes,n_truth,n_correct_msl,n_correct_field,delta_correct,largest_mover,largest_mover_delta,delta_correct_loo,busiest,busiest_n_truth,delta_correct_ex_busiest
<500,arrivals,490,66612,49514,49571,57,LGAV,24,33,LTFM,2258,57
<500,departures,497,66629,57180,57180,0,LGKP,0,0,LTFM,2282,0
500-1500,arrivals,164,15285,12593,12621,28,LEVX,11,17,EDDM,1571,28
500-1500,departures,169,15346,13819,13819,0,LGKC,0,0,EDDM,1573,0
1500-3000,arrivals,77,4434,1919,2028,109,GCXO,39,70,LEMD,1786,110
1500-3000,departures,78,4429,3072,3072,0,LGKZ,0,0,LEMD,1773,0
>3000,arrivals,26,705,5,5,0,LELN,0,0,LTAC,374,0
>3000,departures,26,705,8,8,0,LELN,0,0,LTAC,381,0
unknown,arrivals,49,8080,0,0,0,OOA,0,0,OOA,7964,0
unknown,departures,55,8007,628,628,0,OOA,0,0,OOA,7892,0
