airport,role,n_truth,n_correct_msl,n_correct_field,delta_correct,elevation_ft,band
GCXO,arrivals,320,2,41,39,2076.0,1500-3000
LGAV,arrivals,1317,747,771,24,308.0,<500
LEVT,arrivals,39,1,24,23,1682.0,1500-3000
LEVX,arrivals,40,23,34,11,856.0,500-1500
LOWK,arrivals,18,9,16,7,1472.0,500-1500
LBSF,arrivals,267,1,7,6,1742.0,1500-3000
GMMX,arrivals,279,12,18,6,1545.0,1500-3000
LEGE,arrivals,105,49,55,6,468.0,<500
LEGR,arrivals,34,1,7,6,1860.0,1500-3000
GMFO,arrivals,34,27,32,5,1535.0,1500-3000
LIRQ,arrivals,198,117,122,5,142.0,<500
LESA,arrivals,5,0,5,5,2595.0,1500-3000
LQBK,arrivals,17,8,13,5,400.0,<500
LOWI,arrivals,43,30,34,4,1907.0,1500-3000
ESNQ,arrivals,7,2,6,4,1508.0,1500-3000
OJAI,arrivals,116,0,4,4,2395.0,1500-3000
LRBC,arrivals,19,3,6,3,607.0,500-1500
LICJ,arrivals,314,154,157,3,65.0,<500
LZTT,arrivals,4,1,4,3,2356.0,1500-3000
LBWN,arrivals,75,65,68,3,230.0,<500
LGMK,arrivals,104,77,80,3,405.0,<500
LIEO,arrivals,252,103,105,2,37.0,<500
LTBY,arrivals,2,0,2,2,2588.0,1500-3000
HECA,arrivals,231,59,61,2,322.0,<500
ESSV,arrivals,22,11,13,2,164.0,<500
LZKZ,arrivals,34,27,29,2,755.0,500-1500
LEVD,arrivals,4,0,2,2,2776.0,1500-3000
LRTM,arrivals,5,0,2,2,963.0,500-1500
LQSA,arrivals,93,0,2,2,1708.0,1500-3000
DAAG,arrivals,184,116,118,2,82.0,<500
GMMW,arrivals,40,36,38,2,574.0,500-1500
EGSS,arrivals,888,831,832,1,348.0,<500
LEAS,arrivals,68,5,6,1,416.0,<500
LRTR,arrivals,57,3,4,1,348.0,<500
OLBA,arrivals,144,39,40,1,87.0,<500
LFLC,arrivals,21,20,21,1,1090.0,500-1500
DAON,arrivals,9,0,1,1,814.0,500-1500
LTAI,arrivals,1437,929,930,1,177.0,<500
EIDW,arrivals,1188,1082,1083,1,242.0,<500
LGKO,arrivals,177,167,168,1,412.0,<500
EPSC,arrivals,22,11,12,1,154.0,<500
LRCL,arrivals,129,0,1,1,1039.0,500-1500
EBLG,arrivals,126,74,75,1,659.0,500-1500
LSGS,arrivals,20,0,1,1,1582.0,1500-3000
LGKZ,arrivals,1,0,1,1,2059.0,1500-3000
ESNS,arrivals,11,8,9,1,157.0,<500
ENCN,arrivals,43,12,13,1,57.0,<500
LFSG,arrivals,1,0,1,1,1084.0,500-1500
EFJY,arrivals,4,2,3,1,459.0,<500
ESDF,arrivals,4,2,3,1,191.0,<500
LGKP,departures,22,0,0,0,66.0,<500
LGKP,arrivals,22,0,0,0,66.0,<500
LGKC,departures,5,0,0,0,1045.0,500-1500
LGKF,arrivals,60,55,55,0,59.0,<500
LGKO,departures,178,171,171,0,412.0,<500
LGKJ,departures,2,0,0,0,489.0,<500
LGKL,arrivals,25,22,22,0,26.0,<500
LGKL,departures,25,21,21,0,26.0,<500
LGKF,departures,62,61,61,0,59.0,<500
LGKY,departures,5,0,0,0,771.0,500-1500
LGKY,arrivals,4,0,0,0,771.0,500-1500
LGKZ,departures,1,1,1,0,2059.0,1500-3000
LGLE,arrivals,6,0,0,0,39.0,<500
LFRS,arrivals,257,246,246,0,90.0,<500
LFRS,departures,256,247,247,0,90.0,<500
LGKV,departures,13,13,13,0,18.0,<500
LGKC,arrivals,5,0,0,0,1045.0,500-1500
LFRT,departures,4,3,3,0,453.0,<500
LGKV,arrivals,13,13,13,0,18.0,<500
LFRV,arrivals,2,2,2,0,446.0,<500
LFRV,departures,2,2,2,0,446.0,<500
LGKS,departures,4,0,0,0,35.0,<500
LGKS,arrivals,4,0,0,0,35.0,<500
LGKR,departures,244,201,201,0,6.0,<500
LGKR,arrivals,247,27,27,0,6.0,<500
LFRT,arrivals,2,0,0,0,453.0,<500
LFSL,departures,8,8,8,0,1016.0,500-1500
LFSL,arrivals,8,4,4,0,1016.0,500-1500
LFSG,departures,1,1,1,0,1084.0,500-1500
LFSD,departures,11,11,11,0,726.0,500-1500
LFSD,arrivals,15,14,14,0,726.0,500-1500
LFSB,departures,354,349,349,0,885.0,500-1500
LFSB,arrivals,352,339,339,0,885.0,500-1500
LFMN,arrivals,710,677,677,0,12.0,<500
LFML,departures,444,440,440,0,74.0,<500
LFML,arrivals,445,439,439,0,74.0,<500
LFMK,departures,15,15,15,0,433.0,<500
LGBL,arrivals,4,2,2,0,83.0,<500
LFMH,departures,1,1,1,0,1325.0,500-1500
LFMH,arrivals,1,1,1,0,1325.0,500-1500
LFMU,departures,12,12,12,0,56.0,<500
LFRO,departures,1,1,1,0,290.0,<500
LFRO,arrivals,1,1,1,0,290.0,<500
LFRN,departures,32,32,32,0,124.0,<500
LFRN,arrivals,31,31,31,0,124.0,<500
LFRM,departures,13,13,13,0,194.0,<500
LFRM,arrivals,15,14,14,0,194.0,<500
LFRK,departures,24,23,23,0,256.0,<500
LFMN,departures,707,691,691,0,12.0,<500
LFRI,departures,1,1,1,0,299.0,<500
LFMK,arrivals,16,16,16,0,433.0,<500
LGKA,departures,1,0,0,0,2167.0,1500-3000
LGKA,arrivals,1,0,0,0,2167.0,1500-3000
LFPT,departures,2,2,2,0,325.0,<500
LFPT,arrivals,2,2,2,0,325.0,<500
LFPO,departures,992,982,982,0,291.0,<500
LFPO,arrivals,991,941,941,0,291.0,<500
LFPN,departures,4,0,0,0,538.0,500-1500
LFPN,arrivals,1,0,0,0,538.0,500-1500
LFPG,departures,2084,2061,2061,0,392.0,<500
LFPG,arrivals,2066,1713,1713,0,392.0,<500
LGBL,departures,4,4,4,0,83.0,<500
LFSN,arrivals,2,0,0,0,751.0,500-1500
LGAV,departures,1306,1238,1238,0,308.0,<500
LGAL,departures,17,16,16,0,24.0,<500
LGAL,arrivals,16,16,16,0,24.0,<500
LFTZ,departures,12,0,0,0,59.0,<500
LFTZ,arrivals,19,0,0,0,59.0,<500
LFTW,departures,12,11,11,0,309.0,<500
LFTW,arrivals,11,11,11,0,309.0,<500
LFTH,departures,51,45,45,0,7.0,<500
LFTH,arrivals,55,52,52,0,7.0,<500
LFTF,arrivals,1,0,0,0,266.0,<500
LFST,departures,49,47,47,0,505.0,500-1500
LFST,arrivals,50,48,48,0,505.0,500-1500
LFRZ,arrivals,13,10,10,0,13.0,<500
LICD,departures,27,25,25,0,70.0,<500
LICD,arrivals,27,11,11,0,70.0,<500
LIEO,departures,228,175,175,0,37.0,<500
LIEE,departures,191,112,112,0,13.0,<500
LIEE,arrivals,195,3,3,0,13.0,<500
LIEA,departures,62,62,62,0,87.0,<500
LIEA,arrivals,62,62,62,0,87.0,<500
LGMT,arrivals,34,34,34,0,60.0,<500
LGML,departures,25,0,0,0,10.0,<500
LGML,arrivals,21,0,0,0,10.0,<500
LGMK,departures,105,89,89,0,405.0,<500
LGRP,departures,340,321,321,0,17.0,<500
LGLM,arrivals,15,0,0,0,14.0,<500
LGLE,departures,5,0,0,0,39.0,<500
LIBD,arrivals,229,0,0,0,193.0,<500
LICC,departures,390,348,348,0,39.0,<500
LICB,departures,9,9,9,0,756.0,500-1500
LICB,arrivals,11,10,10,0,756.0,500-1500
LICA,departures,108,2,2,0,39.0,<500
LICA,arrivals,112,0,0,0,39.0,<500
LIBR,departures,130,0,0,0,47.0,<500
LIBR,arrivals,125,0,0,0,47.0,<500
LHBP,arrivals,577,514,514,0,495.0,<500
LGLM,departures,14,0,0,0,14.0,<500
LIMJ,arrivals,86,83,83,0,13.0,<500
LGZA,departures,126,126,126,0,12.0,<500
LGZA,arrivals,126,119,119,0,12.0,<500
LGTS,departures,279,259,259,0,22.0,<500
LGTS,arrivals,281,263,263,0,22.0,<500
LGTG,departures,1,1,1,0,495.0,<500
LGSY,departures,3,0,0,0,44.0,<500
LGSY,arrivals,3,0,0,0,44.0,<500
LIMC,departures,973,963,963,0,768.0,500-1500
LIMZ,arrivals,6,6,6,0,1267.0,500-1500
LIMW,arrivals,1,0,0,0,1791.0,1500-3000
LIME,arrivals,460,444,444,0,782.0,500-1500
LIMP,arrivals,7,5,5,0,161.0,<500
LIML,departures,458,451,451,0,353.0,<500
LIML,arrivals,465,457,457,0,353.0,<500
LIMJ,departures,79,77,77,0,13.0,<500
LICT,departures,39,8,8,0,25.0,<500
LICT,arrivals,40,6,6,0,25.0,<500
LIMG,departures,1,1,1,0,148.0,<500
LIMG,arrivals,1,1,1,0,148.0,<500
LIMF,departures,157,154,154,0,989.0,500-1500
LIMF,arrivals,157,154,154,0,989.0,500-1500
LIME,departures,453,450,450,0,782.0,500-1500
LIMP,departures,10,10,10,0,161.0,<500
LGSR,arrivals,139,0,0,0,127.0,<500
LGSO,departures,4,0,0,0,236.0,<500
LGSO,arrivals,4,0,0,0,236.0,<500
LGSM,departures,41,39,39,0,19.0,<500
LGSM,arrivals,42,23,23,0,19.0,<500
LGSK,departures,37,24,24,0,54.0,<500
LGSK,arrivals,37,31,31,0,54.0,<500
LGSA,departures,196,182,182,0,490.0,<500
LGSA,arrivals,199,60,60,0,490.0,<500
LGRX,departures,11,1,1,0,46.0,<500
LGRX,arrivals,12,1,1,0,46.0,<500
LIBP,departures,41,41,41,0,48.0,<500
LGRP,arrivals,346,315,315,0,17.0,<500
LGPZ,departures,45,24,24,0,11.0,<500
LGPZ,arrivals,46,0,0,0,11.0,<500
LGPL,departures,2,0,0,0,165.0,<500
LGPL,arrivals,4,0,0,0,165.0,<500
LGPA,departures,45,0,0,0,131.0,<500
LGPA,arrivals,40,0,0,0,131.0,<500
LGNX,departures,30,0,0,0,10.0,<500
LGNX,arrivals,30,0,0,0,10.0,<500
LGMT,departures,33,31,31,0,60.0,<500
LFRZ,departures,13,10,10,0,13.0,<500
LFRI,arrivals,1,0,0,0,299.0,<500
LIBP,arrivals,43,42,42,0,48.0,<500
LIBG,departures,2,0,0,0,215.0,<500
LIBG,arrivals,2,0,0,0,215.0,<500
LIBF,departures,7,0,0,0,265.0,<500
LIBF,arrivals,12,0,0,0,265.0,<500
LIBD,departures,228,0,0,0,193.0,<500
LGST,departures,8,0,0,0,376.0,<500
LIBC,departures,13,0,0,0,522.0,500-1500
LIBC,arrivals,12,0,0,0,522.0,500-1500
LHPR,departures,1,1,1,0,424.0,<500
LHPR,arrivals,1,1,1,0,424.0,<500
LGSR,departures,139,3,3,0,127.0,<500
LHDC,arrivals,6,0,0,0,359.0,<500
LHBP,departures,578,553,553,0,495.0,<500
LGIR,departures,424,0,0,0,115.0,<500
LGIR,arrivals,430,0,0,0,115.0,<500
LGIO,departures,10,9,9,0,1558.0,1500-3000
LGIO,arrivals,12,10,10,0,1558.0,1500-3000
LGIK,departures,10,0,0,0,79.0,<500
LGIK,arrivals,9,0,0,0,79.0,<500
LGHI,departures,25,24,24,0,15.0,<500
LGHI,arrivals,26,4,4,0,15.0,<500
LGST,arrivals,8,0,0,0,376.0,<500
LHDC,departures,7,6,6,0,359.0,<500
LFAT,departures,3,2,2,0,36.0,<500
LFAT,arrivals,2,1,1,0,36.0,<500
LFAQ,departures,1,0,0,0,364.0,<500
LFAQ,arrivals,1,0,0,0,364.0,<500
LFBL,arrivals,16,0,0,0,1300.0,500-1500
LFBI,departures,3,3,3,0,423.0,<500
LEZL,departures,275,274,274,0,112.0,<500
LEZL,arrivals,276,264,264,0,112.0,<500
LEZG,departures,38,14,14,0,863.0,500-1500
LEZG,arrivals,39,13,13,0,863.0,500-1500
LEXJ,departures,39,36,36,0,16.0,<500
