airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run,period
OOA,7964,22,0,0,arrivals,0.0,0.0,datum_msl,202506
OOA,7892,920,628,704,departures,0.07957425240750127,0.08920425747592499,datum_msl,202506
LTFM,2282,2173,2166,2174,departures,0.9491673970201577,0.9526730937773883,datum_msl,202506
LTFM,2258,1822,1777,1777,arrivals,0.7869796279893712,0.7869796279893712,datum_msl,202506
EHAM,2148,2143,2143,2158,departures,0.9976722532588455,1.004655493482309,datum_msl,202506
EHAM,2136,1876,1875,1877,arrivals,0.8778089887640449,0.8787453183520599,datum_msl,202506
EDDF,2094,2080,2080,2082,departures,0.9933142311365807,0.994269340974212,datum_msl,202506
EDDF,2091,1775,1770,1771,arrivals,0.8464849354375896,0.846963175514108,datum_msl,202506
LFPG,2084,2065,2061,2071,departures,0.9889635316698656,0.9937619961612284,datum_msl,202506
LFPG,2066,1715,1713,1715,arrivals,0.8291384317521782,0.8301064859632139,datum_msl,202506
EGLL,2001,1989,1988,2024,departures,0.993503248375812,1.0114942528735633,datum_msl,202506
EGLL,1986,1582,1580,1693,arrivals,0.7955689828801611,0.8524672708962739,datum_msl,202506
LEMD,1786,1536,1534,1540,arrivals,0.858902575587906,0.8622620380739082,datum_msl,202506
LEMD,1773,1758,1757,1757,departures,0.990975747320925,0.990975747320925,datum_msl,202506
LEBL,1597,1497,1494,1495,arrivals,0.9355040701314965,0.9361302442078898,datum_msl,202506
LEBL,1591,1578,1577,1577,departures,0.9912005028284098,0.9912005028284098,datum_msl,202506
EDDM,1573,1561,1561,1564,departures,0.9923712650985378,0.9942784488239034,datum_msl,202506
EDDM,1571,1468,1467,1470,arrivals,0.9338001273074474,0.9357097390197326,datum_msl,202506
LIRF,1449,1442,1442,1442,departures,0.9951690821256038,0.9951690821256038,datum_msl,202506
LTAI,1437,929,929,932,arrivals,0.6464857341684064,0.6485734168406402,datum_msl,202506
LEPA,1436,1415,1414,1417,arrivals,0.9846796657381616,0.9867688022284122,datum_msl,202506
LTAI,1435,1229,1228,1234,departures,0.8557491289198607,0.8599303135888502,datum_msl,202506
LIRF,1433,1256,1255,1256,arrivals,0.875785066294487,0.8764829030006979,datum_msl,202506
LEPA,1417,1360,1360,1361,departures,0.9597741707833451,0.9604798870853917,datum_msl,202506
LGAV,1317,750,747,749,arrivals,0.5671981776765376,0.568716780561883,datum_msl,202506
LGAV,1306,1238,1238,1248,departures,0.9479326186830015,0.9555895865237366,datum_msl,202506
EGKK,1223,1213,1213,1215,departures,0.9918233851185609,0.9934587080948487,datum_msl,202506
