airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
OOA,7964,42,0,0,arrivals,0.0,0.0,path0_legacy
OOA,7892,80,0,0,departures,0.0,0.0,path0_legacy
LTFM,2282,1315,1311,1318,departures,0.5744960560911481,0.5775635407537248,path0_legacy
LTFM,2258,1887,1583,1589,arrivals,0.7010628875110717,0.7037201062887511,path0_legacy
EHAM,2148,2144,2144,2165,departures,0.9981378026070763,1.0079143389199254,path0_legacy
EHAM,2136,1929,1926,1930,arrivals,0.901685393258427,0.903558052434457,path0_legacy
EDDF,2094,2085,1982,1984,departures,0.9465138490926457,0.9474689589302769,path0_legacy
EDDF,2091,1835,1831,1833,arrivals,0.8756575801052128,0.8766140602582496,path0_legacy
LFPG,2084,2067,2058,2068,departures,0.9875239923224568,0.9923224568138196,path0_legacy
LFPG,2066,1774,1773,1830,arrivals,0.8581800580832527,0.8857696030977735,path0_legacy
EGLL,2001,1989,1987,1989,departures,0.9930034982508745,0.9940029985007496,path0_legacy
EGLL,1986,1701,1697,1698,arrivals,0.8544813695871097,0.8549848942598187,path0_legacy
LEMD,1786,1614,1607,1611,arrivals,0.8997760358342665,0.9020156774916014,path0_legacy
LEMD,1773,1670,1666,1668,departures,0.9396503102086858,0.9407783417935702,path0_legacy
LEBL,1597,1529,1527,1528,arrivals,0.9561678146524734,0.9567939887288667,path0_legacy
LEBL,1591,1583,1582,1583,departures,0.994343180389692,0.9949717159019484,path0_legacy
EDDM,1573,1562,1558,1562,departures,0.9904640813731723,0.993006993006993,path0_legacy
EDDM,1571,1486,1479,1479,arrivals,0.9414385741565882,0.9414385741565882,path0_legacy
LIRF,1449,1445,1445,1447,departures,0.9972394755003451,0.9986197377501725,path0_legacy
LTAI,1437,763,761,772,arrivals,0.5295755045233125,0.5372303409881698,path0_legacy
LEPA,1436,1385,1383,1387,arrivals,0.963091922005571,0.9658774373259053,path0_legacy
LTAI,1435,728,727,730,departures,0.5066202090592334,0.5087108013937283,path0_legacy
LIRF,1433,1297,1291,1295,arrivals,0.900907187718074,0.9036985345429169,path0_legacy
LEPA,1417,1239,1238,1239,departures,0.8736767819336627,0.8743824982357092,path0_legacy
LGAV,1317,134,117,118,arrivals,0.0888382687927107,0.08959757023538345,path0_legacy
LGAV,1306,305,301,308,departures,0.2304747320061256,0.23583460949464014,path0_legacy
EGKK,1223,1218,1218,1218,departures,0.9959116925592805,0.9959116925592805,path0_legacy
EGKK,1220,1129,1129,1130,arrivals,0.9254098360655738,0.9262295081967213,path0_legacy
EIDW,1188,1110,1109,1111,arrivals,0.9335016835016835,0.9351851851851852,path0_legacy
EIDW,1185,1165,1164,1164,departures,0.9822784810126582,0.9822784810126582,path0_legacy
LSZH,1178,1167,1160,1166,departures,0.9847198641765704,0.9898132427843803,path0_legacy
LSZH,1160,1076,1072,1082,arrivals,0.9241379310344827,0.9327586206896552,path0_legacy
LOWW,1156,1145,1143,1153,departures,0.9887543252595156,0.9974048442906575,path0_legacy
EKCH,1152,1058,1058,1058,arrivals,0.9184027777777778,0.9184027777777778,path0_legacy
LOWW,1145,1074,1072,1079,arrivals,0.9362445414847161,0.9423580786026201,path0_legacy
EKCH,1140,1117,1117,1122,departures,0.9798245614035088,0.9842105263157894,path0_legacy
LTFJ,1138,1003,999,1001,arrivals,0.8778558875219684,0.8796133567662566,path0_legacy
LTFJ,1137,1030,1030,1044,departures,0.9058927000879508,0.9182058047493403,path0_legacy
LPPT,1010,976,685,685,departures,0.6782178217821783,0.6782178217821783,path0_legacy
LPPT,1001,906,905,906,arrivals,0.9040959040959041,0.9050949050949051,path0_legacy
LFPO,992,985,985,988,departures,0.9929435483870968,0.9959677419354839,path0_legacy
LFPO,991,949,949,950,arrivals,0.9576185671039354,0.958627648839556,path0_legacy
LIMC,973,969,965,967,departures,0.9917780061664954,0.9938335046248715,path0_legacy
LIMC,967,892,885,889,arrivals,0.9152016546018614,0.9193381592554292,path0_legacy
