airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
OOA,7964,42,0,0,arrivals,0.0,0.0,legacy
OOA,7892,80,0,0,departures,0.0,0.0,legacy
LTFM,2282,1315,1311,1318,departures,0.5744960560911481,0.5775635407537248,legacy
LTFM,2258,1887,1592,1598,arrivals,0.7050487156775908,0.7077059344552702,legacy
EHAM,2148,2144,2144,2165,departures,0.9981378026070763,1.0079143389199254,legacy
EHAM,2136,1929,1926,1930,arrivals,0.901685393258427,0.903558052434457,legacy
EDDF,2094,2085,2030,2033,departures,0.9694364851957975,0.9708691499522445,legacy
EDDF,2091,1835,1832,1834,arrivals,0.8761358201817312,0.877092300334768,legacy
LFPG,2084,2067,2064,2074,departures,0.9904030710172744,0.9952015355086372,legacy
LFPG,2066,1774,1773,1779,arrivals,0.8581800580832527,0.8610842207163601,legacy
EGLL,2001,1989,1987,1989,departures,0.9930034982508745,0.9940029985007496,legacy
EGLL,1986,1701,1697,1698,arrivals,0.8544813695871097,0.8549848942598187,legacy
LEMD,1786,1614,1607,1611,arrivals,0.8997760358342665,0.9020156774916014,legacy
LEMD,1773,1670,1666,1668,departures,0.9396503102086858,0.9407783417935702,legacy
LEBL,1597,1529,1528,1530,arrivals,0.9567939887288667,0.9580463368816531,legacy
LEBL,1591,1583,1582,1583,departures,0.994343180389692,0.9949717159019484,legacy
EDDM,1573,1562,1560,1564,departures,0.9917355371900827,0.9942784488239034,legacy
EDDM,1571,1486,1483,1484,arrivals,0.9439847231063018,0.9446212603437301,legacy
LIRF,1449,1445,1445,1447,departures,0.9972394755003451,0.9986197377501725,legacy
LTAI,1437,763,761,772,arrivals,0.5295755045233125,0.5372303409881698,legacy
LEPA,1436,1385,1383,1387,arrivals,0.963091922005571,0.9658774373259053,legacy
LTAI,1435,728,727,730,departures,0.5066202090592334,0.5087108013937283,legacy
LIRF,1433,1297,1292,1296,arrivals,0.9016050244242847,0.9043963712491278,legacy
LEPA,1417,1239,1238,1239,departures,0.8736767819336627,0.8743824982357092,legacy
LGAV,1317,134,117,118,arrivals,0.0888382687927107,0.08959757023538345,legacy
LGAV,1306,305,301,308,departures,0.2304747320061256,0.23583460949464014,legacy
EGKK,1223,1218,1218,1218,departures,0.9959116925592805,0.9959116925592805,legacy
EGKK,1220,1129,1129,1130,arrivals,0.9254098360655738,0.9262295081967213,legacy
EIDW,1188,1110,1109,1111,arrivals,0.9335016835016835,0.9351851851851852,legacy
EIDW,1185,1165,1164,1164,departures,0.9822784810126582,0.9822784810126582,legacy
LSZH,1178,1167,1160,1166,departures,0.9847198641765704,0.9898132427843803,legacy
LSZH,1160,1076,1068,1076,arrivals,0.9206896551724137,0.9275862068965517,legacy
LOWW,1156,1145,1143,1153,departures,0.9887543252595156,0.9974048442906575,legacy
EKCH,1152,1058,1058,1058,arrivals,0.9184027777777778,0.9184027777777778,legacy
LOWW,1145,1074,1072,1078,arrivals,0.9362445414847161,0.9414847161572052,legacy
EKCH,1140,1117,1117,1122,departures,0.9798245614035088,0.9842105263157894,legacy
LTFJ,1138,1003,997,999,arrivals,0.8760984182776801,0.8778558875219684,legacy
LTFJ,1137,1030,1030,1044,departures,0.9058927000879508,0.9182058047493403,legacy
LPPT,1010,976,803,803,departures,0.7950495049504951,0.7950495049504951,legacy
LPPT,1001,906,906,907,arrivals,0.9050949050949051,0.906093906093906,legacy
LFPO,992,985,985,989,departures,0.9929435483870968,0.9969758064516129,legacy
LFPO,991,949,949,950,arrivals,0.9576185671039354,0.958627648839556,legacy
LIMC,973,969,966,968,departures,0.9928057553956835,0.9948612538540597,legacy
LIMC,967,892,885,889,arrivals,0.9152016546018614,0.9193381592554292,legacy
ENGM,940,886,885,899,arrivals,0.9414893617021277,0.9563829787234043,legacy
ENGM,932,807,806,815,departures,0.8648068669527897,0.8744635193133047,legacy
EGCC,926,919,918,920,departures,0.9913606911447084,0.9935205183585313,legacy
EGCC,924,840,840,841,arrivals,0.9090909090909091,0.9101731601731602,legacy
EGSS,888,846,841,844,arrivals,0.9470720720720721,0.9504504504504504,legacy
EGSS,885,882,879,879,departures,0.9932203389830508,0.9932203389830508,legacy
EPWA,880,783,780,780,arrivals,0.8863636363636364,0.8863636363636364,legacy
EPWA,875,870,870,872,departures,0.9942857142857143,0.9965714285714286,legacy
EBBR,872,868,868,878,departures,0.9954128440366973,1.0068807339449541,legacy
EBBR,871,786,783,793,arrivals,0.8989667049368542,0.9104477611940298,legacy
EDDB,870,851,848,861,departures,0.9747126436781609,0.9896551724137931,legacy
LEMG,861,843,843,843,arrivals,0.9790940766550522,0.9790940766550522,legacy
LEMG,850,846,846,848,departures,0.9952941176470588,0.9976470588235294,legacy
ESSA,841,731,724,730,arrivals,0.8608799048751486,0.8680142687277052,legacy
EDDB,840,797,795,800,arrivals,0.9464285714285714,0.9523809523809523,legacy
ESSA,820,792,790,798,departures,0.9634146341463414,0.973170731707317,legacy
EDDL,758,753,750,751,departures,0.9894459102902374,0.9907651715039578,legacy
EDDL,751,732,730,735,arrivals,0.9720372836218375,0.9786950732356857,legacy
LFMN,710,691,686,697,arrivals,0.9661971830985916,0.9816901408450704,legacy
LFMN,707,697,691,694,departures,0.9773691654879774,0.9816124469589816,legacy
LSGG,680,452,445,448,departures,0.6544117647058824,0.6588235294117647,legacy
LSGG,670,650,648,658,arrivals,0.9671641791044776,0.982089552238806,legacy
LKPR,667,659,658,663,departures,0.9865067466266867,0.9940029985007496,legacy
EFHK,666,577,576,578,arrivals,0.8648648648648649,0.8678678678678678,legacy
EFHK,659,654,654,659,departures,0.992412746585736,1.0,legacy
LKPR,657,620,616,616,arrivals,0.9375951293759512,0.9375951293759512,legacy
LEAL,599,598,598,598,departures,0.998330550918197,0.998330550918197,legacy
LEAL,599,592,592,592,arrivals,0.988313856427379,0.988313856427379,legacy
EGPH,584,553,553,556,arrivals,0.946917808219178,0.952054794520548,legacy
LHBP,578,567,566,567,departures,0.9792387543252595,0.9809688581314879,legacy
EGPH,577,573,571,571,departures,0.9896013864818024,0.9896013864818024,legacy
LHBP,577,542,540,543,arrivals,0.9358752166377816,0.9410745233968805,legacy
