n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,trend_max_datum,trend_max_height_ft,trend_ceiling,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.6689936498591194,0.6649564741999243,0.9891721146592909,0.9849797622059195,0.6617498633247824,0.6549686698347281,2.0,62943,689,61565.0,62298,950,60398.0,0.08297237057908238,0.0,0.0,0.0,0.7286068054663853,0.9904172960725075,0.08372934101518147,0.0,0.0,0.0,0.7251812924545622,0.9857122513884274,grid_h3000_r20_m0,trend,trend,40,20.0,0,10.0,haversine,40,field,3000.0,3000.0,40.0,15000.0,10.0
95116,0.6600466798435595,0.6616447285419909,0.9889457001322056,0.9849681407210843,0.6527503259178267,0.6516989780899113,2.0,62087,694,60699.0,61987,946,60095.0,0.08297237057908238,0.0,0.0,0.0,0.718964963771439,0.9900495925754652,0.08372934101518147,0.0,0.0,0.0,0.721612814393244,0.9856415964382255,grid_h3000_r20_m2,trend,trend,40,20.0,2,10.0,haversine,40,field,3000.0,3000.0,40.0,15000.0,10.0
95116,0.6497750115648261,0.6589953320156441,0.9885606109636916,0.9849396148753211,0.6423419824214643,0.6490706085201228,2.0,61097,707,59683.0,61737,944,59849.0,0.08297237057908238,0.0,0.0,0.0,0.707798312391085,0.9896334450977534,0.08372934101518147,0.0,0.0,0.0,0.7187213144850376,0.9856157604010345,grid_h3000_r20_m4,trend,trend,40,20.0,4,10.0,haversine,40,field,3000.0,3000.0,40.0,15000.0,10.0
95116,0.6729572311703604,0.6656924176794651,0.9826118202127826,0.9834170378091538,0.6612557298456622,0.6546532654863535,2.0,62896,1113,60670.0,62268,1050,60168.0,0.08297237057908238,0.0,0.0,0.0,0.732699715674585,0.984149337339029,0.08372934101518147,0.0,0.0,0.0,0.7259959610794933,0.9841320015172588,grid_h3000_r30_m0,trend,trend,40,30.0,0,10.0,haversine,40,field,3000.0,3000.0,40.0,15000.0,10.0
95116,0.6635792085453551,0.6624752933260439,0.9829047641681322,0.9832571573668507,0.6522351654821481,0.6513835737415367,2.0,62038,1079,59880.0,61957,1055,59847.0,0.08297237057908238,0.0,0.0,0.0,0.7226566082729524,0.984214617739914,0.08372934101518147,0.0,0.0,0.0,0.7225192766660548,0.9839285997871968,grid_h3000_r30_m2,trend,trend,40,30.0,2,10.0,haversine,40,field,3000.0,3000.0,40.0,15000.0,10.0
95116,0.653528323310484,0.6597838428865807,0.9821753189298756,0.9832366626298681,0.6418793893771816,0.6487236637369107,2.0,61053,1108,58837.0,61704,1052,59600.0,0.08297237057908238,0.0,0.0,0.0,0.7118109694579473,0.9833459500378501,0.08372934101518147,0.0,0.0,0.0,0.7195704057279236,0.983926521239954,grid_h3000_r30_m4,trend,trend,40,30.0,4,10.0,haversine,40,field,3000.0,3000.0,40.0,15000.0,10.0
95116,0.7021426468732915,0.6746183607384667,0.9901175413640788,0.9849767014197329,0.69520375120905,0.6644833676773624,2.0,66125,660,64805.0,63203,964,61275.0,0.08297237057908238,0.0,0.0,0.0,0.7646290011923323,0.9914684979158545,0.08372934101518147,0.0,0.0,0.0,0.7358293556085919,0.9855603549096352,grid_h4000_r20_m0,trend,trend,40,20.0,0,10.0,haversine,40,field,4000.0,4000.0,40.0,15000.0,10.0
95116,0.6950881029479793,0.6723579629084486,0.9902592491756663,0.9850981986489867,0.6883174229362042,0.662338618108415,2.0,65470,644,64182.0,62999,953,61093.0,0.08297237057908238,0.0,0.0,0.0,0.7570278822342474,0.9915039905498932,0.08372934101518147,0.0,0.0,0.0,0.7333968239397833,0.9856376237933571,grid_h4000_r20_m2,trend,trend,40,20.0,2,10.0,haversine,40,field,4000.0,4000.0,40.0,15000.0,10.0
95116,0.6874553177173136,0.6698978089911266,0.9903193246467241,0.9852318026303399,0.6808002859666092,0.6600046259304428,2.0,64755,633,63489.0,62777,941,60895.0,0.08297237057908238,0.0,0.0,0.0,0.7487732734109878,0.9914868858232151,0.08372934101518147,0.0,0.0,0.0,0.730723333945291,0.9857578041580303,grid_h4000_r20_m4,trend,trend,40,20.0,4,10.0,haversine,40,field,4000.0,4000.0,40.0,15000.0,10.0
95116,0.7055174734009,0.6770574876992305,0.9846064435370906,0.9818630724079567,0.694657050338534,0.6647777450691786,2.0,66073,1033,64007.0,63231,1168,60895.0,0.08297237057908238,0.0,0.0,0.0,0.7680913510043107,0.9862230580930205,0.08372934101518147,0.0,0.0,0.0,0.7384684229851294,0.982473313755652,grid_h4000_r30_m0,trend,trend,40,30.0,0,10.0,haversine,40,field,4000.0,4000.0,40.0,15000.0,10.0
