airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
OOA,7964,43,0,0,arrivals,0.0,0.0,path0_legacy
OOA,7892,86,0,0,departures,0.0,0.0,path0_legacy
LTFM,2282,1538,1533,1541,departures,0.6717791411042945,0.6752848378615249,path0_legacy
LTFM,2258,1897,1602,1607,arrivals,0.7094774136403897,0.7116917626217892,path0_legacy
EHAM,2148,2144,2144,2163,departures,0.9981378026070763,1.0069832402234637,path0_legacy
EHAM,2136,1934,1926,1928,arrivals,0.901685393258427,0.9026217228464419,path0_legacy
EDDF,2094,2085,1985,1987,departures,0.9479465138490927,0.9489016236867239,path0_legacy
EDDF,2091,1838,1831,1833,arrivals,0.8756575801052128,0.8766140602582496,path0_legacy
LFPG,2084,2067,2058,2068,departures,0.9875239923224568,0.9923224568138196,path0_legacy
LFPG,2066,1774,1773,1823,arrivals,0.8581800580832527,0.8823814133591481,path0_legacy
EGLL,2001,1989,1987,1989,departures,0.9930034982508745,0.9940029985007496,path0_legacy
EGLL,1986,1701,1697,1698,arrivals,0.8544813695871097,0.8549848942598187,path0_legacy
LEMD,1786,1614,1612,1616,arrivals,0.9025755879059351,0.9048152295632699,path0_legacy
LEMD,1773,1677,1673,1675,departures,0.9435984207557812,0.9447264523406655,path0_legacy
LEBL,1597,1529,1526,1527,arrivals,0.9555416405760802,0.9561678146524734,path0_legacy
LEBL,1591,1583,1582,1583,departures,0.994343180389692,0.9949717159019484,path0_legacy
EDDM,1573,1562,1559,1563,departures,0.9910998092816274,0.9936427209154481,path0_legacy
EDDM,1571,1487,1479,1479,arrivals,0.9414385741565882,0.9414385741565882,path0_legacy
LIRF,1449,1445,1445,1447,departures,0.9972394755003451,0.9986197377501725,path0_legacy
LTAI,1437,895,894,902,arrivals,0.6221294363256785,0.627696590118302,path0_legacy
LEPA,1436,1410,1408,1409,arrivals,0.9805013927576601,0.9811977715877437,path0_legacy
LTAI,1435,883,882,888,departures,0.6146341463414634,0.6188153310104529,path0_legacy
LIRF,1433,1297,1291,1295,arrivals,0.900907187718074,0.9036985345429169,path0_legacy
LEPA,1417,1311,1311,1313,departures,0.9251940719830628,0.926605504587156,path0_legacy
LGAV,1317,178,164,166,arrivals,0.12452543659832954,0.126044039483675,path0_legacy
LGAV,1306,307,303,310,departures,0.23200612557427258,0.23736600306278713,path0_legacy
EGKK,1223,1219,1219,1219,departures,0.9967293540474244,0.9967293540474244,path0_legacy
EGKK,1220,1131,1129,1130,arrivals,0.9254098360655738,0.9262295081967213,path0_legacy
