apt_type,n_truth,n_answered,n_correct,n_aerodromes,role,coverage,accuracy,overall,run
large_airport,80683,61035,59944,331,arrivals,0.7564790600250363,0.9821250102400262,0.7429570045734541,legacy
out of area,7964,43,0,1,arrivals,0.0053992968357609245,0.0,0.0,legacy
medium_airport,5983,3557,3418,346,arrivals,0.5945178004345646,0.9609221253865617,0.5712853083737256,legacy
small_airport,352,93,0,70,arrivals,0.26420454545454547,0.0,0.0,legacy
heliport,134,10,0,58,arrivals,0.07462686567164178,0.0,0.0,legacy
large_airport,80661,62046,61563,331,departures,0.7692193253245063,0.9922154530509621,0.7632313013724105,legacy
out of area,7892,85,0,1,departures,0.010770400405473897,0.0,0.0,legacy
medium_airport,6069,3141,3030,352,departures,0.5175481957488878,0.9646609360076409,0.49925852694018785,legacy
small_airport,361,81,0,76,departures,0.22437673130193905,0.0,0.0,legacy
heliport,133,12,0,65,departures,0.09022556390977443,0.0,0.0,legacy
large_airport,80683,64304,58371,331,arrivals,0.7969956496411884,0.9077351331176909,0.7234609521212647,trend
out of area,7964,46,0,1,arrivals,0.005775991963837268,0.0,0.0,trend
medium_airport,5983,4178,3817,346,arrivals,0.6983118836703994,0.9135950215414074,0.6379742604044794,trend
small_airport,352,106,0,70,arrivals,0.30113636363636365,0.0,0.0,trend
heliport,134,11,0,58,arrivals,0.08208955223880597,0.0,0.0,trend
large_airport,80661,69738,67590,331,departures,0.8645813962137836,0.969199001978835,0.8379514263398669,trend
out of area,7892,111,0,1,departures,0.014064875823618855,0.0,0.0,trend
medium_airport,6069,4294,4176,352,departures,0.7075300708518701,0.9725197950628784,0.6880869995056846,trend
small_airport,361,94,0,76,departures,0.26038781163434904,0.0,0.0,trend
heliport,133,6,0,65,departures,0.045112781954887216,0.0,0.0,trend
large_airport,80683,60755,58730,331,arrivals,0.7530086883234386,0.9666694099251091,0.7279104644100988,endpoint
out of area,7964,390,155,1,arrivals,0.048970366649924664,0.3974358974358974,0.01946258161727775,endpoint
medium_airport,5983,4396,3971,346,arrivals,0.7347484539528665,0.9033212010919017,0.6637138559251212,endpoint
small_airport,352,148,0,70,arrivals,0.42045454545454547,0.0,0.0,endpoint
heliport,134,37,0,58,arrivals,0.27611940298507465,0.0,0.0,endpoint
large_airport,80661,71181,70598,331,departures,0.8824710826793618,0.9918096121155926,0.8752433022154449,endpoint
out of area,7892,957,627,1,departures,0.12126203750633553,0.6551724137931034,0.07944754181449569,endpoint
medium_airport,6069,4705,4362,352,departures,0.7752512769813807,0.9270988310308182,0.7187345526445873,endpoint
small_airport,361,132,0,76,departures,0.3656509695290859,0.0,0.0,endpoint
heliport,133,28,0,65,departures,0.21052631578947367,0.0,0.0,endpoint
large_airport,80683,73523,62720,331,arrivals,0.9112576379162897,0.8530663873889803,0.7773632611578647,nearest
out of area,7964,4793,0,1,arrivals,0.6018332496233049,0.0,0.0,nearest
medium_airport,5983,5540,4172,346,arrivals,0.9259568778204914,0.7530685920577618,0.6973090422864784,nearest
small_airport,352,296,0,70,arrivals,0.8409090909090909,0.0,0.0,nearest
heliport,134,84,0,58,arrivals,0.6268656716417911,0.0,0.0,nearest
large_airport,80661,77905,72019,331,departures,0.965832310534211,0.9244464411783583,0.8928602422484224,nearest
out of area,7892,3239,0,1,departures,0.4104156107450583,0.0,0.0,nearest
medium_airport,6069,5684,4526,352,departures,0.936562860438293,0.7962702322308234,0.7457571263799637,nearest
small_airport,361,290,0,76,departures,0.8033240997229917,0.0,0.0,nearest
heliport,133,83,0,65,departures,0.6240601503759399,0.0,0.0,nearest
large_airport,80683,61045,59014,331,arrivals,0.7566030018715219,0.9667294618723892,0.7314304128502906,combined
out of area,7964,26,0,1,arrivals,0.0032646911099949772,0.0,0.0,combined
medium_airport,5983,3761,3637,346,arrivals,0.6286144074878823,0.9670300452007445,0.6078890188868461,combined
small_airport,352,84,0,70,arrivals,0.23863636363636365,0.0,0.0,combined
heliport,134,11,0,58,arrivals,0.08208955223880597,0.0,0.0,combined
large_airport,80661,71174,70597,331,departures,0.8823842997235343,0.9918931070334672,0.8752309046503267,combined
out of area,7892,911,626,1,departures,0.11543335022807907,0.6871569703622393,0.07932083122149011,combined
medium_airport,6069,4705,4362,352,departures,0.7752512769813807,0.9270988310308182,0.7187345526445873,combined
small_airport,361,132,0,76,departures,0.3656509695290859,0.0,0.0,combined
heliport,133,28,0,65,departures,0.21052631578947367,0.0,0.0,combined
