n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,trend_max_fl,trend_radius_nm,trend_smooth_half_window,trend_vote_margin,trend_rank_by,trend_sched_penalty_nm,trend_smooth_before_cut,trend_radius_exact,trend_bearing_tiebreak_nm,trend_ooa,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm,endpoint_candidate_radius_nm,adep_mode,ades_mode,run,period,tracks_table
92799,0.6120432332244959,0.6082824168363883,0.9810553374297938,0.9525403911564626,0.6004482806926799,0.5794135712669317,2.0,55721,1076,53569.0,53769,2679,48411.0,0.07942973523421588,0.0,0.0,0.0,0.6641382216603455,0.9821101240834743,0.07982844642722443,0.0,0.0,0.0,0.6602803574147158,0.9536554219431733,40,30.0,2,4,ring,0.0,False,False,0.0,False,40.0,15000.0,10.0,110.0,trend,trend,L00_legacy,2024,research/tracks
92799,0.6120432332244959,0.6082824168363883,0.9796820254590911,0.9511940192743764,0.5996077543939051,0.5785945969245359,2.0,55643,1154,53335.0,53693,2755,48183.0,0.07942973523421588,0.0,0.0,0.0,0.6641382216603455,0.9807353355893965,0.07982844642722443,0.0,0.0,0.0,0.6602803574147158,0.9523074740165302,40,30.0,2,4,haversine,0.0,False,False,0.0,False,40.0,15000.0,10.0,110.0,trend,trend,L01_exact_rank,2024,research/tracks
92799,0.6121078890936325,0.608325520749146,0.9795961480907699,0.9511443350102742,0.5996185303720946,0.5786053729027253,2.0,55644,1159,53326.0,53694,2758,48178.0,0.07942973523421588,0.0,0.0,0.0,0.6641616331881819,0.980718389791674,0.07982844642722443,0.0,0.0,0.0,0.6603037790867891,0.9522914301929626,40,30.0,2,4,haversine,0.0,False,True,0.0,False,40.0,15000.0,10.0,110.0,trend,trend,L02_exact_radius,2024,research/tracks
92799,0.6140260132113493,0.6085625922693132,0.9801688282058932,0.9511633672132309,0.6018491578573045,0.5788424444228925,2.0,55851,1130,53591.0,53716,2758,48200.0,0.07942973523421588,0.0,0.0,0.0,0.666303787985204,0.9812020168303438,0.07982844642722443,0.0,0.0,0.0,0.6605965499877037,0.9522593912318956,40,30.0,2,4,haversine,0.0,True,True,0.0,False,40.0,15000.0,10.0,110.0,trend,trend,L03_smooth_first,2024,research/tracks
92799,0.6140260132113493,0.6085625922693132,0.981186711359927,0.9705351135035591,0.6024741645922909,0.5906313645621182,2.0,55909,1072,53765.0,54810,1664,51482.0,0.07942973523421588,0.0,0.0,0.0,0.666303787985204,0.9822209729273906,0.07982844642722443,0.0,0.0,0.0,0.6605965499877037,0.9716534595543265,40,30.0,2,4,haversine,10.0,True,True,0.0,False,40.0,15000.0,10.0,110.0,trend,trend,L04_penalty,2024,research/tracks
92799,0.6560092242373301,0.6352439142663175,0.9794010874386058,0.9673621713316369,0.6424961475877973,0.6145109322298732,2.0,59623,1254,57115.0,57026,1924,53178.0,0.07942973523421588,0.0,0.0,0.0,0.7118509153907384,0.980447937906992,0.07982844642722443,0.0,0.0,0.0,0.6895808691782507,0.9684464370626995,60,30.0,2,4,haversine,10.0,True,True,0.0,False,40.0,15000.0,10.0,110.0,trend,trend,L05_flcap,2024,research/tracks
92799,0.6661709716699533,0.6424207157404713,0.9771756713037851,0.9665358293075684,0.6509660664446815,0.6209226392525782,2.0,60409,1411,57587.0,57621,1995,53631.0,0.07942973523421588,0.0,0.0,0.0,0.7224914547923398,0.9787430534177994,0.07982844642722443,0.0,0.0,0.0,0.6972514667822136,0.9677858210584659,60,30.0,2,0,haversine,10.0,True,True,0.0,False,40.0,15000.0,10.0,110.0,trend,trend,L06_margin,2024,research/tracks
92799,0.6661709716699533,0.6424207157404713,0.9802814623099321,0.9699074074074074,0.6530350542570502,0.6230886108686516,2.0,60601,1219,58163.0,57822,1794,54234.0,0.07942973523421588,0.0,0.0,0.0,0.7224914547923398,0.9818538260883654,0.07982844642722443,0.0,0.0,0.0,0.6972514667822136,0.9711617595189708,60,30.0,2,0,haversine,10.0,True,True,2.0,False,40.0,15000.0,10.0,110.0,trend,trend,L07_bearing,2024,research/tracks
92799,0.7285423334303172,0.6274852099699351,0.9771920482783103,0.9715095311695002,0.7119257750622313,0.609607862153687,2.0,66066,1542,62982.0,56571,1659,53253.0,0.07942973523421588,0.006972057888554833,0.07977207977207977,0.9088098918083463,0.783291192583228,0.9785249943958754,0.07982844642722443,0.0,0.0,0.0,0.6811139347237999,0.9726620931552071,60,30.0,2,0,haversine,10.0,True,True,2.0,False,40.0,15000.0,10.0,110.0,endpoint,trend,L08_endpoint_departures,2024,research/tracks
92799,0.7268612808327676,0.6274852099699351,0.9782363754966494,0.9715095311695002,0.7110421448506988,0.609607862153687,2.0,65984,1468,63048.0,56571,1659,53253.0,0.07942973523421588,0.006972057888554833,0.07977207977207977,0.9088098918083463,0.7814885049398324,0.9795539311873699,0.07982844642722443,0.0,0.0,0.0,0.6811139347237999,0.9726620931552071,60,30.0,2,0,haversine,10.0,True,True,2.0,False,30.0,15000.0,10.0,110.0,endpoint,trend,L09_endpoint_radius,2024,research/tracks
