apt_type,n_truth,n_answered,n_correct,n_aerodromes,role,coverage,accuracy,overall,run,period
large_airport,78790,52275,50222,328,arrivals,0.6634725218936414,0.960726924916308,0.6374159157253458,legacy,2024
out of area,7408,66,0,1,arrivals,0.008909287257019439,0.0,0.0,legacy,2024
medium_airport,6037,2591,2343,341,arrivals,0.4291866821268842,0.9042840602084138,0.3881066755010767,legacy,2024
small_airport,375,83,0,69,arrivals,0.22133333333333333,0.0,0.0,legacy,2024
heliport,189,0,0,78,arrivals,0.0,,0.0,legacy,2024
large_airport,78751,53402,52762,330,departures,0.6781120239742987,0.9880154301337029,0.6699851430458026,legacy,2024
out of area,7371,56,0,1,departures,0.007597340930674264,0.0,0.0,legacy,2024
medium_airport,6115,2268,2082,340,departures,0.3708912510220769,0.917989417989418,0.34047424366312345,legacy,2024
small_airport,380,77,0,72,departures,0.2026315789473684,0.0,0.0,legacy,2024
heliport,182,0,0,77,departures,0.0,,0.0,legacy,2024
large_airport,78790,55745,54661,328,arrivals,0.7075136438634344,0.9805543098035698,0.6937555527351187,trend,2024
out of area,7408,74,0,1,arrivals,0.009989200863930885,0.0,0.0,trend,2024
medium_airport,6037,3109,2654,341,arrivals,0.5149908895146595,0.8536506915406883,0.4396223289713434,trend,2024
small_airport,375,94,0,69,arrivals,0.25066666666666665,0.0,0.0,trend,2024
heliport,189,0,0,78,arrivals,0.0,,0.0,trend,2024
large_airport,78751,58392,57712,330,departures,0.7414762987136672,0.9883545691190574,0.73284148772714,trend,2024
out of area,7371,98,0,1,departures,0.013295346628679962,0.0,0.0,trend,2024
medium_airport,6115,2900,2597,340,departures,0.4742436631234669,0.8955172413793103,0.42469337694194603,trend,2024
small_airport,380,90,0,72,departures,0.23684210526315788,0.0,0.0,trend,2024
heliport,182,2,0,77,departures,0.01098901098901099,0.0,0.0,trend,2024
large_airport,78790,56814,54598,328,arrivals,0.7210813555019673,0.9609955292709543,0.6929559588780302,endpoint,2024
out of area,7408,373,224,1,arrivals,0.05035097192224622,0.6005361930294906,0.03023758099352052,endpoint,2024
medium_airport,6037,3607,3064,341,arrivals,0.5974821931422892,0.8494593845300804,0.5075368560543316,endpoint,2024
small_airport,375,139,0,69,arrivals,0.37066666666666664,0.0,0.0,endpoint,2024
heliport,189,7,0,78,arrivals,0.037037037037037035,0.0,0.0,endpoint,2024
large_airport,78751,62922,61985,330,departures,0.7989993777856789,0.985108547090048,0.7871011161763025,endpoint,2024
out of area,7371,751,592,1,departures,0.10188576855243522,0.7882822902796272,0.08031474698141365,endpoint,2024
medium_airport,6115,3721,3411,340,departures,0.6085036794766967,0.916689062080086,0.5578086672117744,endpoint,2024
small_airport,380,114,0,72,departures,0.3,0.0,0.0,endpoint,2024
heliport,182,12,0,77,departures,0.06593406593406594,0.0,0.0,endpoint,2024
large_airport,78790,66290,55974,328,arrivals,0.8413504251808606,0.8443807512445316,0.710420104074121,nearest,2024
out of area,7408,4015,0,1,arrivals,0.5419816414686826,0.0,0.0,nearest,2024
medium_airport,6037,4658,3178,341,arrivals,0.7715752857379493,0.6822670674109059,0.5264204074871625,nearest,2024
small_airport,375,258,0,69,arrivals,0.688,0.0,0.0,nearest,2024
heliport,189,21,0,78,arrivals,0.1111111111111111,0.0,0.0,nearest,2024
large_airport,78751,69786,63814,330,departures,0.8861601757438001,0.9144240965236581,0.8103262180797705,nearest,2024
out of area,7371,3045,0,1,departures,0.4131054131054131,0.0,0.0,nearest,2024
medium_airport,6115,4772,3600,340,departures,0.7803761242845462,0.7544006705783739,0.588716271463614,nearest,2024
small_airport,380,241,0,72,departures,0.6342105263157894,0.0,0.0,nearest,2024
heliport,182,18,0,77,departures,0.0989010989010989,0.0,0.0,nearest,2024
large_airport,78790,54447,53450,328,arrivals,0.691039472014215,0.9816886146160486,0.6783855819266404,shipped,2024
out of area,7408,66,0,1,arrivals,0.008909287257019439,0.0,0.0,shipped,2024
medium_airport,6037,3036,2613,341,arrivals,0.5028987907901276,0.8606719367588933,0.43283087626304456,shipped,2024
small_airport,375,92,0,69,arrivals,0.24533333333333332,0.0,0.0,shipped,2024
heliport,189,0,0,78,arrivals,0.0,,0.0,shipped,2024
large_airport,78751,62915,61985,330,departures,0.7989104900255235,0.9852181514742112,0.7871011161763025,shipped,2024
out of area,7371,691,588,1,departures,0.09374576041242708,0.8509406657018813,0.07977207977207977,shipped,2024
medium_airport,6115,3721,3411,340,departures,0.6085036794766967,0.916689062080086,0.5578086672117744,shipped,2024
small_airport,380,114,0,72,departures,0.3,0.0,0.0,shipped,2024
heliport,182,12,0,77,departures,0.06593406593406594,0.0,0.0,shipped,2024
large_airport,78790,54142,53126,328,arrivals,0.687168422388628,0.9812345314173839,0.6742733849473284,reject_radius20,2024
out of area,7408,60,0,1,arrivals,0.008099352051835854,0.0,0.0,reject_radius20,2024
medium_airport,6037,3029,2607,341,arrivals,0.5017392744740765,0.8606800924397491,0.43183700513500084,reject_radius20,2024
small_airport,375,80,0,69,arrivals,0.21333333333333335,0.0,0.0,reject_radius20,2024
heliport,189,1,0,78,arrivals,0.005291005291005291,0.0,0.0,reject_radius20,2024
large_airport,78751,62915,61985,330,departures,0.7989104900255235,0.9852181514742112,0.7871011161763025,reject_radius20,2024
out of area,7371,692,588,1,departures,0.09388142721476055,0.8497109826589595,0.07977207977207977,reject_radius20,2024
medium_airport,6115,3721,3411,340,departures,0.6085036794766967,0.916689062080086,0.5578086672117744,reject_radius20,2024
small_airport,380,114,0,72,departures,0.3,0.0,0.0,reject_radius20,2024
heliport,182,12,0,77,departures,0.06593406593406594,0.0,0.0,reject_radius20,2024
large_airport,78790,54532,53402,328,arrivals,0.6921182891229851,0.9792782219614171,0.6777763675593349,reject_trend_ooa,2024
