month,rung,n_answered,n_correct,n_fallback_correct,side,share_of_gt,accuracy,fallback_accuracy,lift,ladder_pos
2024-06,m0,48477,47297,48028,adep,0.5222407756531107,0.9756585597293562,0.9907378756936279,-0.0150793159642717,0
2024-06,m3,2726,2422,2541,adep,0.029367088607594936,0.888481291269259,0.9321349963316214,-0.043653705062362436,1
2024-06,m2,313,42,147,adep,0.0033719364395367627,0.134185303514377,0.4696485623003195,-0.3354632587859425,2
2024-06,m1,15182,6983,6983,adep,0.16355507675733907,0.45995257541825846,0.45995257541825846,0.0,3
2024-06,m5,1509,3,0,adep,0.016256396444923243,0.0019880715705765406,0.0,0.0019880715705765406,4
2024-06,m0,47441,44756,45976,ades,0.5110799892270401,0.9434033852574777,0.969119537952404,-0.02571615269492633,0
2024-06,m3,723,606,636,ades,0.0077888499865338,0.8381742738589212,0.8796680497925311,-0.04149377593360992,1
2024-06,m2,355,15,90,ades,0.003824400754107191,0.04225352112676056,0.2535211267605634,-0.2112676056338028,2
2024-06,m1,16970,4633,4633,ades,0.18281712900619446,0.2730111962286388,0.2730111962286388,0.0,3
2024-06,m5,2698,2,0,ades,0.02906544573121465,0.0007412898443291327,0.0,0.0007412898443291327,4
2025-06,m0,48617,47401,48228,adep,0.5110263202152707,0.9749881728613448,0.9919986835880453,-0.017010510726700567,0
2025-06,m3,2510,2137,2308,adep,0.02638328287924655,0.851394422310757,0.9195219123505977,-0.06812749003984064,1
2025-06,m2,782,58,347,adep,0.008219811638076018,0.0741687979539642,0.4437340153452685,-0.3695652173913043,2
2025-06,m1,12859,5367,5367,adep,0.13516439623276152,0.4173730461155611,0.4173730461155611,0.0,3
2025-06,m5,1507,0,0,adep,0.015840480995627314,0.0,0.0,0.0,4
2025-06,m0,47288,45233,45912,ades,0.4970568449377733,0.9565428861444764,0.9709017086787346,-0.014358822534258242,0
2025-06,m3,655,348,402,ades,0.006884880591994619,0.5312977099236641,0.6137404580152672,-0.08244274809160312,1
2025-06,m2,1186,52,289,ades,0.01246636394214598,0.04384485666104553,0.2436762225969646,-0.19983136593591905,2
2025-06,m1,14553,3144,3144,ades,0.1529704843592331,0.2160379303236446,0.2160379303236446,0.0,3
2025-06,m5,2531,6,0,ades,0.026604019508913557,0.002370604504148558,0.0,0.002370604504148558,4
