month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,LFPG,2124,1661,1659,1670,departures,0.7810734463276836,0.7862523540489642,large_airport,49.00896,2.554117,True,True,True
2024-06,EHAM,2123,1727,1725,1739,departures,0.8125294394724446,0.8191238813000471,large_airport,52.308601,4.76389,True,True,True
2024-06,EHAM,2119,1457,1446,1459,arrivals,0.682397357243983,0.6885323265691364,large_airport,52.308601,4.76389,True,True,True
2024-06,LFPG,2118,1370,1365,1378,arrivals,0.6444759206798867,0.6506137865911237,large_airport,49.00896,2.554117,True,True,True
2024-06,LTFM,2104,1663,1662,1666,departures,0.7899239543726235,0.7918250950570342,large_airport,41.274874,28.732136,True,True,True
2024-06,LTFM,2073,1346,1336,1354,arrivals,0.6444766039556199,0.653159671972986,large_airport,41.274874,28.732136,True,True,True
2024-06,EGLL,2023,1718,1718,1719,departures,0.8492338111715274,0.8497281265447355,large_airport,51.470748,-0.459909,True,True,True
2024-06,EGLL,2017,1337,1312,1341,arrivals,0.6504709965294992,0.6648487853247397,large_airport,51.470748,-0.459909,True,True,True
2024-06,EDDF,1981,1691,1690,1696,departures,0.8531044926804644,0.8561332660272589,large_airport,50.026706,8.55835,True,True,True
2024-06,EDDF,1973,1321,1310,1317,arrivals,0.6639635073492144,0.6675114039533705,large_airport,50.026706,8.55835,True,True,True
2024-06,LEMD,1789,1179,1169,1182,arrivals,0.6534376746785914,0.6607043040804919,large_airport,40.493407,-3.572249,True,True,True
2024-06,LEMD,1788,1377,1374,1379,departures,0.7684563758389261,0.7712527964205816,large_airport,40.493407,-3.572249,True,True,True
2024-06,LEBL,1563,1278,1275,1279,departures,0.8157389635316699,0.81829814459373,large_airport,41.2971,2.07846,True,True,True
2024-06,LEBL,1563,1205,1202,1211,arrivals,0.7690339091490723,0.7747920665387076,large_airport,41.2971,2.07846,True,True,True
2024-06,LIRF,1464,821,819,823,arrivals,0.5594262295081968,0.5621584699453552,large_airport,41.804532,12.251998,True,True,True
2024-06,LIRF,1463,998,998,1004,departures,0.6821599453178401,0.6862611073137389,large_airport,41.804532,12.251998,True,True,True
2024-06,EDDM,1459,1140,1124,1143,arrivals,0.77039067854695,0.7834132967786155,large_airport,48.353802,11.7861,True,True,True
2024-06,EDDM,1452,1257,1253,1258,departures,0.8629476584022039,0.8663911845730028,large_airport,48.353802,11.7861,True,True,True
2024-06,LTAI,1327,338,338,341,departures,0.25470987189148453,0.2569706103993971,large_airport,36.898701,30.800501,True,True,True
2024-06,LEPA,1320,512,508,519,arrivals,0.38484848484848483,0.3931818181818182,large_airport,39.551701,2.73881,True,True,True
2024-06,LTAI,1309,52,41,41,arrivals,0.03132161955691368,0.03132161955691368,large_airport,36.898701,30.800501,True,True,True
2024-06,LEPA,1302,844,841,841,departures,0.6459293394777266,0.6459293394777266,large_airport,39.551701,2.73881,True,True,True
2024-06,LGAV,1283,272,266,271,arrivals,0.2073265783320343,0.2112236944660951,large_airport,37.936401,23.9445,True,True,True
2024-06,LGAV,1273,845,841,846,departures,0.6606441476826395,0.6645718774548312,large_airport,37.936401,23.9445,True,True,True
2024-06,EGKK,1261,856,853,853,arrivals,0.6764472640761301,0.6764472640761301,large_airport,51.148744,-0.185739,True,True,True
2024-06,EGKK,1260,960,960,960,departures,0.7619047619047619,0.7619047619047619,large_airport,51.148744,-0.185739,True,True,True
2024-06,LOWW,1171,1003,1001,1002,departures,0.8548249359521777,0.8556789069171649,large_airport,48.110298,16.5697,True,True,True
2024-06,LOWW,1160,900,896,905,arrivals,0.7724137931034483,0.7801724137931034,large_airport,48.110298,16.5697,True,True,True
2024-06,EKCH,1157,848,843,851,arrivals,0.7286084701815039,0.7355229040622299,large_airport,55.617900848389,12.656000137329,True,True,True
