bias_s,coverage_pct,det_type,mad_s,milestone,n_detected,n_truth,p90_abs_s,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
35.0,1.76,landing,35.0,ALDT,973,55415,43311.0,L00_legacy,83,0.15,817,1.47,837,1.51,395,0.71,716,1.29
,0.0,landing,,AOBT,0,55252,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,55252,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,55415,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,2.09,take-off,20.0,ATOT,1156,55252,9989.0,L00_legacy,507,0.92,764,1.38,766,1.39,652,1.18,754,1.36
,0.0,take-off,,AIBT,0,55415,,L00_legacy,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5.0,6.66,landing,16.0,ALDT,3689,55415,9096.0,L01_clean_tracks,1354,2.44,3020,5.45,3072,5.54,2339,4.22,2848,5.14
,0.0,landing,,AOBT,0,55252,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,55252,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,55415,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,2.57,take-off,17.0,ATOT,1422,55252,13511.0,L01_clean_tracks,611,1.11,962,1.74,966,1.75,835,1.51,948,1.72
,0.0,take-off,,AIBT,0,55415,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30.0,0.96,landing,35.0,ALDT,534,55415,22275.0,L02_smoothing,64,0.12,434,0.78,435,0.78,233,0.42,371,0.67
,0.0,landing,,AOBT,0,55252,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,55252,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,55415,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,55415,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,55252,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-5.0,0.43,take-off,21.0,ATOT,238,55252,13070.0,L02_smoothing,38,0.07,192,0.35,192,0.35,168,0.3,189,0.34
,0.0,take-off,,AIBT,0,55415,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
