gt_airport,milestone,coverage_pct,n_detected,n_truth,bias_s,source_git_sha,source_produced_utc
EBBR,AIBT,1.7,14,825,-355.0,39093a1,2026-09-08T00:51:17+00:00
EBBR,AOBT,1.18,10,845,645.0,39093a1,2026-09-08T00:51:17+00:00
EDDP,AIBT,2.69,6,223,-240.0,39093a1,2026-09-08T00:51:17+00:00
EDDP,AOBT,3.7,9,243,770.0,39093a1,2026-09-08T00:51:17+00:00
EDDS,AIBT,23.47,88,375,-393.0,39093a1,2026-09-08T00:51:17+00:00
EDDS,AOBT,42.51,156,367,705.0,39093a1,2026-09-08T00:51:17+00:00
EFHK,AIBT,2.05,13,633,-189.0,39093a1,2026-09-08T00:51:17+00:00
EFHK,AOBT,1.56,10,640,459.0,39093a1,2026-09-08T00:51:17+00:00
EGCC,AIBT,0.71,7,980,-490.0,39093a1,2026-09-08T00:51:17+00:00
EGCC,AOBT,0.72,7,975,1250.0,39093a1,2026-09-08T00:51:17+00:00
EGGD,AIBT,0.53,2,378,-369.0,39093a1,2026-09-08T00:51:17+00:00
EGGD,AOBT,0.54,2,370,570.0,39093a1,2026-09-08T00:51:17+00:00
EGNT,AIBT,0.0,0,212,,39093a1,2026-09-08T00:51:17+00:00
EGNT,AOBT,0.0,0,215,,39093a1,2026-09-08T00:51:17+00:00
EICK,AIBT,0.83,1,120,-225.0,39093a1,2026-09-08T00:51:17+00:00
EICK,AOBT,0.83,1,121,3995.0,39093a1,2026-09-08T00:51:17+00:00
ENVA,AIBT,0.0,0,199,,39093a1,2026-09-08T00:51:17+00:00
ENVA,AOBT,0.0,0,199,,39093a1,2026-09-08T00:51:17+00:00
ESSA,AIBT,1.36,12,882,-455.0,39093a1,2026-09-08T00:51:17+00:00
ESSA,AOBT,0.79,7,885,515.0,39093a1,2026-09-08T00:51:17+00:00
LEIB,AIBT,0.99,5,506,-150.0,39093a1,2026-09-08T00:51:17+00:00
LEIB,AOBT,1.56,8,513,545.0,39093a1,2026-09-08T00:51:17+00:00
LFLL,AIBT,0.8,3,374,-270.0,39093a1,2026-09-08T00:51:17+00:00
LFLL,AOBT,0.82,3,368,595.0,39093a1,2026-09-08T00:51:17+00:00
LFPO,AIBT,0.51,5,977,-205.0,39093a1,2026-09-08T00:51:17+00:00
LFPO,AOBT,0.1,1,972,850.0,39093a1,2026-09-08T00:51:17+00:00
LHBP,AIBT,2.78,17,611,-228.0,39093a1,2026-09-08T00:51:17+00:00
LHBP,AOBT,2.79,17,609,658.0,39093a1,2026-09-08T00:51:17+00:00
LKPR,AIBT,3.45,23,667,-210.0,39093a1,2026-09-08T00:51:17+00:00
LKPR,AOBT,4.84,32,661,765.0,39093a1,2026-09-08T00:51:17+00:00
LOWW,AIBT,2.71,29,1069,-290.0,39093a1,2026-09-08T00:51:17+00:00
LOWW,AOBT,2.15,23,1071,600.0,39093a1,2026-09-08T00:51:17+00:00
LPFR,AIBT,1.77,7,395,-281.0,39093a1,2026-09-08T00:51:17+00:00
LPFR,AOBT,1.01,4,397,380.0,39093a1,2026-09-08T00:51:17+00:00
LPPT,AIBT,1.01,10,994,-325.0,39093a1,2026-09-08T00:51:17+00:00
LPPT,AOBT,1.21,12,994,905.0,39093a1,2026-09-08T00:51:17+00:00
LSZH,AIBT,55.97,670,1197,-300.0,39093a1,2026-09-08T00:51:17+00:00
LSZH,AOBT,63.97,758,1185,722.0,39093a1,2026-09-08T00:51:17+00:00
UGKO,AIBT,7.5,3,40,-11085.0,39093a1,2026-09-08T00:51:17+00:00
UGKO,AOBT,4.55,2,44,7065.0,39093a1,2026-09-08T00:51:17+00:00
POOLED,AIBT,7.85,915,11657,-301.0,39093a1,2026-09-08T00:55:03+00:00
POOLED,AOBT,9.1,1062,11674,720.0,39093a1,2026-09-08T00:55:03+00:00
