n_events,rung,type
65518,V06_runway_milestones,ALDT
54922,V06_runway_milestones,ATOT
25717,V06_runway_milestones,airborne
1687,V06_runway_milestones,entry-apron
4,V06_runway_milestones,entry-hangar
2670,V06_runway_milestones,entry-parking_position
17875,V06_runway_milestones,entry-taxiway
10,V06_runway_milestones,entry-threshold
1687,V06_runway_milestones,exit-apron
4,V06_runway_milestones,exit-hangar
2663,V06_runway_milestones,exit-parking_position
17347,V06_runway_milestones,exit-taxiway
10,V06_runway_milestones,exit-threshold
181721,V06_runway_milestones,first_seen
440,V06_runway_milestones,go-around
4004,V06_runway_milestones,landing
181721,V06_runway_milestones,last_seen
326599,V06_runway_milestones,level-end
93402,V06_runway_milestones,level-off-climb-end
93402,V06_runway_milestones,level-off-climb-start
221996,V06_runway_milestones,level-off-descent-end
221996,V06_runway_milestones,level-off-descent-start
406994,V06_runway_milestones,level-start
26317,V06_runway_milestones,line-up
1827,V06_runway_milestones,off-block
1827,V06_runway_milestones,on-block
89,V06_runway_milestones,runway-crossing-entry
89,V06_runway_milestones,runway-crossing-vacated
36449,V06_runway_milestones,runway-vacated
26008,V06_runway_milestones,take-off-roll
97229,V06_runway_milestones,top-of-climb
172533,V06_runway_milestones,top-of-climb-cco
96870,V06_runway_milestones,top-of-descent
172515,V06_runway_milestones,top-of-descent-cdo
35654,V06_runway_milestones,touchdown
151748,V06_runway_milestones,xing-100nm
171396,V06_runway_milestones,xing-40nm
191414,V06_runway_milestones,xing-fl100
160424,V06_runway_milestones,xing-fl245
193609,V06_runway_milestones,xing-fl50
200191,V06_runway_milestones,xing-fl70
65518,V07_shipped,ALDT
54922,V07_shipped,ATOT
25717,V07_shipped,airborne
3849,V07_shipped,entry-apron
10,V07_shipped,entry-hangar
4051,V07_shipped,entry-parking_position
25220,V07_shipped,entry-taxiway
87,V07_shipped,entry-threshold
3844,V07_shipped,exit-apron
10,V07_shipped,exit-hangar
4015,V07_shipped,exit-parking_position
24553,V07_shipped,exit-taxiway
87,V07_shipped,exit-threshold
181721,V07_shipped,first_seen
440,V07_shipped,go-around
4004,V07_shipped,landing
181721,V07_shipped,last_seen
326599,V07_shipped,level-end
93402,V07_shipped,level-off-climb-end
93402,V07_shipped,level-off-climb-start
221996,V07_shipped,level-off-descent-end
221996,V07_shipped,level-off-descent-start
406994,V07_shipped,level-start
26317,V07_shipped,line-up
2728,V07_shipped,off-block
2728,V07_shipped,on-block
89,V07_shipped,runway-crossing-entry
89,V07_shipped,runway-crossing-vacated
36449,V07_shipped,runway-vacated
26008,V07_shipped,take-off-roll
97229,V07_shipped,top-of-climb
172533,V07_shipped,top-of-climb-cco
96870,V07_shipped,top-of-descent
172515,V07_shipped,top-of-descent-cdo
35654,V07_shipped,touchdown
151748,V07_shipped,xing-100nm
171396,V07_shipped,xing-40nm
191414,V07_shipped,xing-fl100
160424,V07_shipped,xing-fl245
193609,V07_shipped,xing-fl50
200191,V07_shipped,xing-fl70
