bias_s,coverage_pct,gt_airport,mad_s,milestone,n_detected,n_truth,p90_abs_s,period,reportable,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
-295.0,1.58,EBBR,295.0,AIBT,13,825,435.0,2026,False,V06_runway_milestones,0,0.0,1,0.12,7,0.85,0,0.0,0,0.0
,0.0,EGNT,,AIBT,0,212,,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20.0,96.67,EICK,30.0,ALDT,116,120,50.0,2026,True,V06_runway_milestones,30,25.0,116,96.67,116,96.67,68,56.67,115,95.83
770.0,2.47,EDDP,770.0,AOBT,6,243,1205.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-201.0,0.95,EFHK,189.0,AIBT,6,633,309.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,5,0.79,0,0.0,0,0.0
25.0,91.96,ENVA,30.0,ATOT,183,199,65.0,2026,True,V06_runway_milestones,47,23.62,171,85.93,174,87.44,95,47.74,158,79.4
15.0,93.65,EGGD,16.300002098083496,ALDT,354,378,45.0,2026,True,V06_runway_milestones,141,37.3,351,92.86,352,93.12,250,66.14,350,92.59
35.0,98.37,LFLL,35.0,ATOT,362,368,60.0,2026,True,V06_runway_milestones,40,10.87,361,98.1,361,98.1,166,45.11,340,92.39
49.079999923706055,91.08,ESSA,50.0,ATOT,807,886,75.0,2026,True,V06_runway_milestones,3,0.34,804,90.74,804,90.74,197,22.23,578,65.24
20.0,95.47,EDDP,20.0,ATOT,232,243,50.0,2026,True,V06_runway_milestones,67,27.57,232,95.47,232,95.47,157,64.61,230,94.65
21.266666889190674,96.52,LFPO,21.900001049041748,ALDT,943,977,49.59999990463257,2026,True,V06_runway_milestones,270,27.64,942,96.42,943,96.52,614,62.85,939,96.11
35.0,98.23,LPFR,35.0,ATOT,388,395,60.0,2026,True,V06_runway_milestones,45,11.39,387,97.97,387,97.97,174,44.05,354,89.62
515.0,0.68,ESSA,515.0,AOBT,6,885,770.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25.0,96.36,LOWW,25.0,ATOT,1031,1070,50.0,2026,True,V06_runway_milestones,269,25.14,1025,95.79,1025,95.79,604,56.45,1023,95.61
545.0,1.17,LEIB,545.0,AOBT,6,513,13285.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-170.0,0.79,LEIB,150.0,AIBT,4,507,300.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,4,0.79,0,0.0,0,0.0
5.0,96.98,ENVA,20.0,ALDT,193,199,50.0,2026,True,V06_runway_milestones,59,29.65,179,89.95,181,90.95,141,70.85,178,89.45
40.0,98.09,LPPT,40.0,ATOT,974,993,65.0,2026,True,V06_runway_milestones,41,4.13,974,98.09,974,98.09,339,34.14,806,81.17
21.266666889190674,91.04,EGNT,25.0,ALDT,193,212,50.0,2026,True,V06_runway_milestones,58,27.36,193,91.04,193,91.04,120,56.6,191,90.09
15.0,97.31,EDDP,19.500000953674316,ALDT,217,223,44.500000953674316,2026,True,V06_runway_milestones,76,34.08,217,97.31,217,97.31,158,70.85,215,96.41
18.80000400543213,95.66,LKPR,19.20000195503235,ALDT,639,668,47.53333592414856,2026,True,V06_runway_milestones,212,31.74,638,95.51,638,95.51,436,65.27,633,94.76
-300.0,55.3,LSZH,302.0,AIBT,662,1197,481.0,2026,True,V06_runway_milestones,0,0.0,3,0.25,326,27.23,1,0.08,1,0.08
743.0,0.47,EFHK,743.0,AOBT,3,640,6533.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-225.0,0.83,EICK,225.0,AIBT,1,120,225.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,1,0.83,0,0.0,0,0.0
20.0,96.6,LFPO,20.0,ATOT,939,972,45.0,2026,True,V06_runway_milestones,320,32.92,939,96.6,939,96.6,630,64.81,939,96.6
-228.0,1.48,LHBP,228.0,AIBT,9,610,3838.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,7,1.15,0,0.0,0,0.0
-13.0,97.6,EDDS,13.0,ALDT,366,375,52.0,2026,True,V06_runway_milestones,149,39.73,362,96.53,363,96.8,266,70.93,339,90.4
638.0,1.48,LHBP,638.0,AOBT,9,608,4200.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,1,0.16,0,0.0,0,0.0
6.4000020027160645,98.4,LFLL,10.0,ALDT,368,374,28.900002002716064,2026,True,V06_runway_milestones,206,55.08,367,98.13,367,98.13,334,89.3,367,98.13
722.0,63.71,LSZH,725.0,AOBT,755,1185,1045.0,2026,True,V06_runway_milestones,0,0.0,0,0.0,13,1.1,0,0.0,0,0.0
-490.0,0.61,EGCC,455.0,AIBT,6,980,710.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
765.0,1.66,LKPR,865.0,AOBT,11,661,3045.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-315.0,1.87,LOWW,280.0,AIBT,20,1069,2500.0,2026,True,V06_runway_milestones,0,0.0,0,0.0,10,0.94,0,0.0,0,0.0
,0.0,ENVA,,AIBT,0,199,,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,LFPO,,AOBT,0,972,,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,EGNT,,AOBT,0,215,,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3995.0,0.83,EICK,3995.0,AOBT,1,121,3995.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
905.0,1.11,LPPT,905.0,AOBT,11,993,1085.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-5.0,97.28,LPPT,9.266665935516357,ALDT,967,994,30.0,2026,True,V06_runway_milestones,575,57.85,967,97.28,967,97.28,894,89.94,966,97.18
1250.0,0.72,EGCC,1250.0,AOBT,7,975,3910.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-7.0,97.63,LEIB,7.0,ALDT,495,507,10.0,2026,True,V06_runway_milestones,451,88.95,492,97.04,492,97.04,492,97.04,492,97.04
30.0,93.02,EGNT,30.0,ATOT,200,215,55.0,2026,True,V06_runway_milestones,38,17.67,200,93.02,200,93.02,109,50.7,198,92.09
3.733333110809326,93.5,EFHK,13.099999904632568,ALDT,590,631,30.0,2026,True,V06_runway_milestones,276,43.74,587,93.03,588,93.19,549,87.0,586,92.87
-281.0,1.02,LPFR,272.0,AIBT,4,393,323.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,3,0.76,0,0.0,0,0.0
-240.0,1.79,EDDP,220.0,AIBT,4,223,270.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,4,1.79,0,0.0,0,0.0
520.0,1.4,LOWW,520.0,AOBT,15,1070,3075.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,3,0.28,0,0.0,0,0.0
375.0,0.5,LPFR,375.0,AOBT,2,397,380.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2.299999952316284,93.33,ESSA,15.0,ALDT,825,884,30.0,2026,True,V06_runway_milestones,367,41.52,818,92.53,818,92.53,793,89.71,818,92.53
-360.0,0.68,ESSA,305.0,AIBT,6,881,500.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,2,0.23,0,0.0,0,0.0
10.0,97.21,EBBR,10.666666984558105,ALDT,800,823,37.333333015441895,2026,True,V06_runway_milestones,397,48.24,798,96.96,798,96.96,656,79.71,798,96.96
-10.0,95.59,LHBP,13.499999046325684,ALDT,585,612,35.0,2026,True,V06_runway_milestones,285,46.57,579,94.61,582,95.1,479,78.27,577,94.28
-270.0,0.8,LFLL,270.0,AIBT,3,374,300.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,3,0.8,0,0.0,0,0.0
-5.0,96.91,LSZH,5.0,ALDT,1161,1198,9.0,2026,True,V06_runway_milestones,1110,92.65,1156,96.49,1158,96.66,1154,96.33,1156,96.49
9.349997997283936,97.29,LKPR,13.942858934402466,ATOT,646,664,30.0,2026,True,V06_runway_milestones,294,44.28,644,96.99,644,96.99,592,89.16,642,96.69
30.0,97.12,EGCC,34.899998903274536,ATOT,945,973,58.92499899864197,2026,True,V06_runway_milestones,155,15.93,940,96.61,940,96.61,470,48.3,924,94.96
50.0,93.89,EFHK,50.0,ATOT,599,638,75.0,2026,True,V06_runway_milestones,4,0.63,598,93.73,598,93.73,118,18.5,394,61.76
570.0,0.27,EGGD,570.0,AOBT,1,370,570.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.9999990463256836,95.06,LHBP,14.714286088943481,ATOT,577,607,29.000000953674316,2026,True,V06_runway_milestones,248,40.86,575,94.73,575,94.73,550,90.61,573,94.4
35.0,91.74,EICK,35.0,ATOT,111,121,65.0,2026,True,V06_runway_milestones,11,9.09,110,90.91,110,90.91,47,38.84,97,80.17
610.0,1.62,EDDS,610.0,AOBT,6,370,945.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-205.0,0.1,LFPO,205.0,AIBT,1,977,205.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0
31.444443941116333,97.86,EBBR,31.599998950958252,ATOT,825,843,55.0,2026,True,V06_runway_milestones,154,18.27,823,97.63,823,97.63,410,48.64,800,94.9
5.0,97.1,LOWW,10.0,ALDT,1037,1068,28.000000953674316,2026,True,V06_runway_milestones,562,52.62,1033,96.72,1033,96.72,960,89.89,1033,96.72
595.0,0.82,LFLL,595.0,AOBT,3,368,3130.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30.0,96.49,EGGD,30.0,ATOT,357,370,55.0,2026,True,V06_runway_milestones,64,17.3,353,95.41,353,95.41,187,50.54,350,94.59
-1.6500000953674316,95.36,LEIB,4.0,ATOT,493,517,12.022222995758057,2026,True,V06_runway_milestones,415,80.27,492,95.16,492,95.16,491,94.97,492,95.16
20.0,93.58,EGCC,20.0,ALDT,918,981,45.0,2026,True,V06_runway_milestones,331,33.74,917,93.48,917,93.48,642,65.44,911,92.86
-369.0,0.53,EGGD,210.0,AIBT,2,378,369.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,1,0.26,0,0.0,0,0.0
3.5499980449676514,98.31,LSZH,3.6399989128112793,ATOT,1166,1186,7.0,2026,True,V06_runway_milestones,1139,96.04,1161,97.89,1161,97.89,1157,97.55,1161,97.89
-5.0,97.96,LPFR,10.0,ALDT,385,393,30.0,2026,True,V06_runway_milestones,199,50.64,384,97.71,384,97.71,351,89.31,384,97.71
645.0,1.18,EBBR,645.0,AOBT,10,845,1080.0,2026,False,V06_runway_milestones,1,0.12,1,0.12,1,0.12,1,0.12,1,0.12
-140.0,1.95,LKPR,140.0,AIBT,13,667,245.0,2026,False,V06_runway_milestones,0,0.0,4,0.6,12,1.8,0,0.0,0,0.0
1.5249989032745361,97.04,EDDS,3.0,ATOT,360,371,8.600001096725464,2026,True,V06_runway_milestones,333,89.76,359,96.77,359,96.77,358,96.5,358,96.5
-285.0,0.91,LPPT,285.0,AIBT,9,993,530.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,5,0.5,0,0.0,0,0.0
-309.0,1.06,EDDS,309.0,AIBT,4,379,317.0,2026,False,V06_runway_milestones,0,0.0,0,0.0,1,0.26,0,0.0,0,0.0
,0.0,ENVA,,AOBT,0,199,,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,UGKO,,AIBT,0,40,,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-5.0,85.0,UGKO,15.0,ALDT,34,40,45.0,2026,True,V06_runway_milestones,15,37.5,34,85.0,34,85.0,27,67.5,34,85.0
,0.0,UGKO,,AOBT,0,44,,2026,False,V06_runway_milestones,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,90.91,UGKO,14.24000096321106,ATOT,40,44,28.519999027252197,2026,True,V06_runway_milestones,16,36.36,40,90.91,40,90.91,39,88.64,40,90.91
