bias_s,coverage_pct,det_type,gt_airport,mad_s,milestone,n_detected,n_truth,p90_abs_s,period,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
-40.0,90.37,on-block,LFLL,60.0,AIBT,338,374,215.0,2026,V07_shipped,41,10.96,205,54.81,327,87.43,114,30.48,169,45.19
-6.0,71.12,ATOT,LEIB,7.0,ATOT,367,516,15.0,2026,V07_shipped,268,51.94,366,70.93,366,70.93,366,70.93,366,70.93
30.0,96.49,ATOT,EGGD,30.0,ATOT,357,370,55.0,2026,V07_shipped,64,17.3,354,95.68,354,95.68,188,50.81,351,94.86
-10.0,86.43,on-block,ENVA,55.0,AIBT,172,199,4845.0,2026,V07_shipped,33,16.58,131,65.83,149,74.87,64,32.16,92,46.23
20.0,93.56,ALDT,EGCC,20.0,ALDT,916,979,50.0,2026,V07_shipped,318,32.48,914,93.36,914,93.36,626,63.94,908,92.75
244.0,95.08,off-block,LHBP,262.0,AOBT,580,610,481.0,2026,V07_shipped,29,4.75,237,38.85,341,55.9,85,13.93,161,26.39
7.199997901916504,97.81,airborne,LSZH,7.199997901916504,ATOT,1160,1186,13.127271890640259,2026,V07_shipped,865,72.93,1159,97.72,1159,97.72,1154,97.3,1159,97.72
16.86666703224182,30.31,touchdown,EGCC,20.3000009059906,ALDT,297,980,43.53333401679993,2026,V07_shipped,93,9.49,287,29.29,287,29.29,210,21.43,284,28.98
30.0,93.49,ATOT,EGNT,30.0,ATOT,201,215,55.0,2026,V07_shipped,38,17.67,201,93.49,201,93.49,109,50.7,199,92.56
32.79999899864197,35.95,airborne,EGGD,33.42499899864197,ATOT,133,370,59.62857007980347,2026,V07_shipped,13,3.51,128,34.59,128,34.59,58,15.68,120,32.43
13.800002098083496,59.52,touchdown,EGGD,17.533334016799927,ALDT,225,378,41.300002098083496,2026,V07_shipped,68,17.99,223,58.99,223,58.99,162,42.86,223,58.99
-19.40000009536743,97.44,touchdown,LEIB,19.59999990463257,ALDT,495,508,30.40000009536743,2026,V07_shipped,19,3.74,492,96.85,492,96.85,441,86.81,492,96.85
8.5,90.28,touchdown,EBBR,15.666666984558105,ALDT,743,823,37.999999046325684,2026,V07_shipped,249,30.26,740,89.91,740,89.91,584,70.96,740,89.91
