bias_s,coverage_pct,mad_s,milestone,n_detected,n_truth,p90_abs_s,period,rule,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
5.0,95.96,15.0,ALDT,11186,11657,45.0,2026,legacy_first,V07_shipped,4788,41.07,11114,95.34,11127,95.45,8705,74.68,11030,94.62
62.0,90.13,70.0,AOBT,10522,11674,440.0,2026,legacy_first,V07_shipped,1038,8.89,6227,53.34,7929,67.92,3038,26.02,4980,42.66
25.0,96.25,25.0,ATOT,11237,11675,60.0,2026,legacy_first,V07_shipped,3610,30.92,11168,95.66,11171,95.68,6861,58.77,10433,89.36
-65.0,87.59,70.0,AIBT,10210,11657,305.0,2026,legacy_first,V07_shipped,1287,11.04,6374,54.68,9159,78.57,3188,27.35,4782,41.02
-2.4000000953674316,95.96,18.19999599456787,ALDT,11186,11657,41.399998903274536,2026,acdm_first,V07_shipped,2970,25.48,11104,95.26,11117,95.37,8560,73.43,10999,94.36
62.0,90.13,70.0,AOBT,10522,11674,440.0,2026,acdm_first,V07_shipped,1038,8.89,6227,53.34,7929,67.92,3038,26.02,4980,42.66
25.0,96.22,25.299998998641968,ATOT,11234,11675,60.0,2026,acdm_first,V07_shipped,2885,24.71,11172,95.69,11175,95.72,6316,54.1,10154,86.97
-65.0,87.59,70.0,AIBT,10210,11657,305.0,2026,acdm_first,V07_shipped,1287,11.04,6374,54.68,9159,78.57,3188,27.35,4782,41.02
0.5,95.96,10.0,ALDT,11186,11657,36.90000104904175,2026,oracle_nearest,V07_shipped,5769,49.49,11130,95.48,11141,95.57,9384,80.5,11082,95.07
62.0,90.13,70.0,AOBT,10522,11674,440.0,2026,oracle_nearest,V07_shipped,1038,8.89,6227,53.34,7929,67.92,3038,26.02,4980,42.66
23.47499990463257,96.25,25.0,ATOT,11237,11675,60.0,2026,oracle_nearest,V07_shipped,3702,31.71,11191,95.85,11194,95.88,6889,59.01,10457,89.57
-65.0,87.59,70.0,AIBT,10210,11657,305.0,2026,oracle_nearest,V07_shipped,1287,11.04,6374,54.68,9159,78.57,3188,27.35,4782,41.02
