bias_s,coverage_pct,gt_airport,gt_subminute,mad_s,milestone,n_detected,n_truth,p90_abs_s,period,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
-240.0,1.79,EDDP,False,220.0,AIBT,4,223,270.0,2026,V07_shipped,0,0.0,0,0.0,4,1.79,0,0.0,0,0.0
30.0,96.48,EGGD,False,30.0,ATOT,356,369,55.0,2026,V07_shipped,64,17.34,353,95.66,353,95.66,187,50.68,350,94.85
3.733333110809326,93.5,EFHK,False,13.099999904632568,ALDT,590,631,30.0,2026,V07_shipped,276,43.74,587,93.03,588,93.19,549,87.0,586,92.87
-170.0,0.8,LEIB,False,150.0,AIBT,4,503,300.0,2026,V07_shipped,0,0.0,0,0.0,4,0.8,0,0.0,0,0.0
0.9999990463256836,95.06,LHBP,False,14.714286088943481,ATOT,577,607,29.000000953674316,2026,V07_shipped,248,40.86,575,94.73,575,94.73,550,90.61,573,94.4
5.0,97.1,LOWW,False,10.0,ALDT,1037,1068,28.000000953674316,2026,V07_shipped,562,52.62,1033,96.72,1033,96.72,960,89.89,1033,96.72
-295.0,1.58,EBBR,False,295.0,AIBT,13,825,435.0,2026,V07_shipped,0,0.0,1,0.12,7,0.85,0,0.0,0,0.0
720.0,63.75,LSZH,True,722.0,AOBT,714,1120,1024.0,2026,V07_shipped,0,0.0,0,0.0,12,1.07,0,0.0,0,0.0
21.266666889190674,91.04,EGNT,False,25.0,ALDT,193,212,50.0,2026,V07_shipped,58,27.36,193,91.04,193,91.04,120,56.6,191,90.09
15.0,97.31,EDDP,False,19.500000953674316,ALDT,217,223,44.500000953674316,2026,V07_shipped,76,34.08,217,97.31,217,97.31,158,70.85,215,96.41
743.0,0.5,EFHK,True,743.0,AOBT,3,596,6533.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5.0,96.98,ENVA,False,20.0,ALDT,193,199,50.0,2026,V07_shipped,59,29.65,179,89.95,181,90.95,141,70.85,178,89.45
31.444443941116333,97.86,EBBR,False,31.599998950958252,ATOT,825,843,55.0,2026,V07_shipped,154,18.27,823,97.63,823,97.63,410,48.64,800,94.9
-210.0,0.46,LPFR,False,210.0,AIBT,1,219,210.0,2026,V07_shipped,0,0.0,0,0.0,1,0.46,0,0.0,0,0.0
21.266666889190674,96.52,LFPO,False,21.900001049041748,ALDT,943,977,49.59999990463257,2026,V07_shipped,270,27.64,942,96.42,943,96.52,614,62.85,939,96.11
35.0,98.37,LFLL,False,35.0,ATOT,362,368,60.0,2026,V07_shipped,40,10.87,361,98.1,361,98.1,166,45.11,340,92.39
570.0,0.57,EGGD,False,570.0,AOBT,1,176,570.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
638.0,1.63,LHBP,True,638.0,AOBT,9,551,4200.0,2026,V07_shipped,0,0.0,0,0.0,1,0.18,0,0.0,0,0.0
18.80000400543213,95.66,LKPR,False,19.20000195503235,ALDT,639,668,47.53333592414856,2026,V07_shipped,212,31.74,638,95.51,638,95.51,436,65.27,633,94.76
,0.0,LFPO,False,,AOBT,0,972,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-309.0,1.16,EDDS,True,309.0,AIBT,4,344,317.0,2026,V07_shipped,0,0.0,0,0.0,1,0.29,0,0.0,0,0.0
-281.0,1.73,LPFR,True,281.0,AIBT,3,173,323.0,2026,V07_shipped,0,0.0,0,0.0,2,1.16,0,0.0,0,0.0
645.0,1.18,EBBR,False,645.0,AOBT,10,845,1080.0,2026,V07_shipped,1,0.12,1,0.12,1,0.12,1,0.12,1,0.12
2.299999952316284,93.33,ESSA,False,15.0,ALDT,825,884,30.0,2026,V07_shipped,367,41.52,818,92.53,818,92.53,793,89.71,818,92.53
-7.0,97.61,LEIB,True,7.0,ALDT,490,502,10.0,2026,V07_shipped,446,88.84,487,97.01,487,97.01,487,97.01,487,97.01
30.0,97.12,EGCC,False,34.899998903274536,ATOT,945,973,58.92499899864197,2026,V07_shipped,155,15.93,940,96.61,940,96.61,470,48.3,924,94.96
,0.0,EGNT,False,,AOBT,0,215,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20.0,95.47,EDDP,False,20.0,ATOT,232,243,50.0,2026,V07_shipped,67,27.57,232,95.47,232,95.47,157,64.61,230,94.65
,0.0,LHBP,False,,AOBT,0,57,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-205.0,0.1,LFPO,False,205.0,AIBT,1,977,205.0,2026,V07_shipped,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0
-300.0,55.42,LSZH,True,302.0,AIBT,654,1180,476.0,2026,V07_shipped,0,0.0,3,0.25,321,27.2,1,0.08,1,0.08
-201.0,1.0,EFHK,True,189.0,AIBT,6,600,309.0,2026,V07_shipped,0,0.0,0,0.0,5,0.83,0,0.0,0,0.0
25.0,91.96,ENVA,False,30.0,ATOT,183,199,65.0,2026,V07_shipped,47,23.62,171,85.93,174,87.44,95,47.74,158,79.4
-228.0,1.61,LHBP,True,228.0,AIBT,9,559,3838.0,2026,V07_shipped,0,0.0,0,0.0,7,1.25,0,0.0,0,0.0
3995.0,0.83,EICK,False,3995.0,AOBT,1,121,3995.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
905.0,1.11,LPPT,False,905.0,AOBT,11,994,1085.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35.0,91.74,EICK,False,35.0,ATOT,111,121,65.0,2026,V07_shipped,11,9.09,110,90.91,110,90.91,47,38.84,97,80.17
375.0,0.93,LPFR,False,375.0,AOBT,2,214,380.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-270.0,0.8,LFLL,False,270.0,AIBT,3,374,300.0,2026,V07_shipped,0,0.0,0,0.0,3,0.8,0,0.0,0,0.0
49.079999923706055,91.08,ESSA,False,50.0,ATOT,807,886,75.0,2026,V07_shipped,3,0.34,804,90.74,804,90.74,197,22.23,578,65.24
50.0,93.89,EFHK,False,50.0,ATOT,599,638,75.0,2026,V07_shipped,4,0.63,598,93.73,598,93.73,118,18.5,394,61.76
40.0,98.09,LPPT,False,40.0,ATOT,974,993,65.0,2026,V07_shipped,41,4.13,974,98.09,974,98.09,339,34.14,806,81.17
-369.0,0.55,EGGD,True,369.0,AIBT,1,181,369.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-285.0,0.91,LPPT,False,285.0,AIBT,9,994,530.0,2026,V07_shipped,0,0.0,0,0.0,5,0.5,0,0.0,0,0.0
-140.0,1.95,LKPR,False,140.0,AIBT,13,667,245.0,2026,V07_shipped,0,0.0,4,0.6,12,1.8,0,0.0,0,0.0
0.0,90.91,UGKO,False,14.24000096321106,ATOT,40,44,28.519999027252197,2026,V07_shipped,16,36.36,40,90.91,40,90.91,39,88.64,40,90.91
595.0,0.82,LFLL,False,595.0,AOBT,3,368,3130.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9.349997997283936,97.29,LKPR,False,13.942858934402466,ATOT,646,664,30.0,2026,V07_shipped,294,44.28,644,96.99,644,96.99,592,89.16,642,96.69
-10.0,95.59,LHBP,False,13.499999046325684,ALDT,585,612,35.0,2026,V07_shipped,285,46.57,579,94.61,582,95.1,479,78.27,577,94.28
-210.0,0.51,EGGD,False,210.0,AIBT,1,197,210.0,2026,V07_shipped,0,0.0,0,0.0,1,0.51,0,0.0,0,0.0
-13.0,97.81,EDDS,True,13.0,ALDT,358,366,52.0,2026,V07_shipped,147,40.16,354,96.72,355,96.99,260,71.04,331,90.44
-360.0,0.68,ESSA,False,305.0,AIBT,6,881,500.0,2026,V07_shipped,0,0.0,0,0.0,2,0.23,0,0.0,0,0.0
20.0,96.6,LFPO,False,20.0,ATOT,939,972,45.0,2026,V07_shipped,320,32.92,939,96.6,939,96.6,630,64.81,939,96.6
-5.0,97.28,LPPT,False,9.266665935516357,ALDT,967,994,30.0,2026,V07_shipped,575,57.85,967,97.28,967,97.28,894,89.94,966,97.18
15.0,93.65,EGGD,False,16.300002098083496,ALDT,354,378,45.0,2026,V07_shipped,141,37.3,351,92.86,352,93.12,250,66.14,350,92.59
-315.0,1.87,LOWW,False,280.0,AIBT,20,1068,2500.0,2026,V07_shipped,0,0.0,0,0.0,10,0.94,0,0.0,0,0.0
610.0,1.63,EDDS,False,610.0,AOBT,6,369,945.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,EGGD,True,,AOBT,0,194,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30.0,93.02,EGNT,False,30.0,ATOT,200,215,55.0,2026,V07_shipped,38,17.67,200,93.02,200,93.02,109,50.7,198,92.09
,0.0,ENVA,False,,AIBT,0,192,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.5499999523162842,95.31,LEIB,True,4.0,ATOT,488,512,12.022222995758057,2026,V07_shipped,411,80.27,487,95.12,487,95.12,486,94.92,487,95.12
-5.0,96.95,LSZH,True,5.0,ALDT,1146,1182,9.0,2026,V07_shipped,1096,92.72,1141,96.53,1143,96.7,1139,96.36,1141,96.53
,0.0,EGNT,False,,AIBT,0,212,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
770.0,2.47,EDDP,False,770.0,AOBT,6,243,1205.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
