apt_type,n_truth,n_answered,n_correct,n_aerodromes,role,coverage,accuracy,overall,arm
large_airport,27415,20641,19998,318,arrivals,0.7529089914280503,0.9688484085073398,0.7294546780959329,modulo (published)
out of area,2619,146,59,1,arrivals,0.05574646811760214,0.4041095890410959,0.022527682321496753,modulo (published)
medium_airport,2168,1562,1397,297,arrivals,0.7204797047970479,0.8943661971830986,0.6443726937269373,modulo (published)
small_airport,131,50,0,48,arrivals,0.3816793893129771,0.0,0.0,modulo (published)
heliport,62,18,0,44,arrivals,0.2903225806451613,0.0,0.0,modulo (published)
large_airport,27370,24263,24069,320,departures,0.8864815491413957,0.9920042863619503,0.8793934965290464,modulo (published)
out of area,2637,329,232,1,departures,0.12476298824421692,0.7051671732522796,0.08797876374668183,modulo (published)
medium_airport,2189,1656,1521,293,departures,0.756509821836455,0.9184782608695652,0.6948378254910919,modulo (published)
small_airport,136,48,0,53,departures,0.35294117647058826,0.0,0.0,modulo (published)
heliport,63,14,0,49,departures,0.2222222222222222,0.0,0.0,modulo (published)
large_airport,27415,20727,20056,318,arrivals,0.7560459602407441,0.9676267670188643,0.731570308225424,bucket (proposed)
out of area,2619,143,54,1,arrivals,0.054600992745322645,0.3776223776223776,0.020618556701030927,bucket (proposed)
medium_airport,2168,1564,1399,297,arrivals,0.7214022140221402,0.8945012787723785,0.6452952029520295,bucket (proposed)
small_airport,131,50,0,48,arrivals,0.3816793893129771,0.0,0.0,bucket (proposed)
heliport,62,18,0,44,arrivals,0.2903225806451613,0.0,0.0,bucket (proposed)
large_airport,27370,24253,24058,320,departures,0.8861161856046766,0.9919597575557663,0.8789915966386554,bucket (proposed)
out of area,2637,330,231,1,departures,0.12514220705346984,0.7,0.0875995449374289,bucket (proposed)
medium_airport,2189,1656,1522,293,departures,0.756509821836455,0.9190821256038647,0.6952946550936501,bucket (proposed)
small_airport,136,48,0,53,departures,0.35294117647058826,0.0,0.0,bucket (proposed)
heliport,63,14,0,49,departures,0.2222222222222222,0.0,0.0,bucket (proposed)
