arm,edge,bin_lower_s,bin_upper_s,n
recommended,off,-1800,-1770,419
recommended,off,-1770,-1740,9
recommended,off,-1740,-1710,3
recommended,off,-1710,-1680,7
recommended,off,-1680,-1650,10
recommended,off,-1650,-1620,13
recommended,off,-1620,-1590,3
recommended,off,-1590,-1560,13
recommended,off,-1560,-1530,11
recommended,off,-1530,-1500,18
recommended,off,-1500,-1470,21
recommended,off,-1470,-1440,19
recommended,off,-1440,-1410,16
recommended,off,-1410,-1380,19
recommended,off,-1380,-1350,26
recommended,off,-1350,-1320,25
recommended,off,-1320,-1290,17
recommended,off,-1290,-1260,37
recommended,off,-1260,-1230,34
recommended,off,-1230,-1200,33
recommended,off,-1200,-1170,43
recommended,off,-1170,-1140,64
recommended,off,-1140,-1110,52
recommended,off,-1110,-1080,64
recommended,off,-1080,-1050,65
recommended,off,-1050,-1020,100
recommended,off,-1020,-990,88
recommended,off,-990,-960,115
recommended,off,-960,-930,106
recommended,off,-930,-900,145
recommended,off,-900,-870,125
recommended,off,-870,-840,152
recommended,off,-840,-810,204
recommended,off,-810,-780,199
recommended,off,-780,-750,250
recommended,off,-750,-720,272
recommended,off,-720,-690,308
recommended,off,-690,-660,346
recommended,off,-660,-630,348
recommended,off,-630,-600,391
recommended,off,-600,-570,412
recommended,off,-570,-540,399
recommended,off,-540,-510,394
recommended,off,-510,-480,402
recommended,off,-480,-450,331
recommended,off,-450,-420,334
recommended,off,-420,-390,308
recommended,off,-390,-360,291
recommended,off,-360,-330,304
recommended,off,-330,-300,300
recommended,off,-300,-270,347
recommended,off,-270,-240,328
recommended,off,-240,-210,306
recommended,off,-210,-180,261
recommended,off,-180,-150,259
recommended,off,-150,-120,222
recommended,off,-120,-90,263
recommended,off,-90,-60,381
recommended,off,-60,-30,402
recommended,off,-30,0,880
recommended,off,0,30,2994
recommended,off,30,60,3281
recommended,off,60,90,1316
recommended,off,90,120,628
recommended,off,120,150,365
recommended,off,150,180,160
recommended,off,180,210,94
recommended,off,210,240,80
recommended,off,240,270,109
recommended,off,270,300,119
recommended,off,300,330,169
recommended,off,330,360,121
recommended,off,360,390,127
recommended,off,390,420,85
recommended,off,420,450,75
recommended,off,450,480,89
recommended,off,480,510,62
recommended,off,510,540,42
recommended,off,540,570,26
recommended,off,570,600,18
recommended,off,600,630,8
recommended,off,630,660,11
recommended,off,660,690,9
recommended,off,690,720,9
recommended,off,720,750,3
recommended,off,750,780,2
recommended,off,780,810,6
recommended,off,810,840,2
recommended,off,840,870,1
recommended,off,870,900,6
recommended,off,900,930,4
recommended,off,930,960,4
recommended,off,960,990,5
recommended,off,990,1020,4
recommended,off,1020,1050,7
recommended,off,1050,1080,2
recommended,off,1080,1110,3
recommended,off,1110,1140,0
recommended,off,1140,1170,2
recommended,off,1170,1200,2
recommended,off,1200,1230,2
recommended,off,1230,1260,3
recommended,off,1260,1290,3
recommended,off,1290,1320,5
recommended,off,1320,1350,4
recommended,off,1350,1380,8
recommended,off,1380,1410,2
recommended,off,1410,1440,3
recommended,off,1440,1470,2
recommended,off,1470,1500,0
recommended,off,1500,1530,2
recommended,off,1530,1560,2
recommended,off,1560,1590,5
recommended,off,1590,1620,4
recommended,off,1620,1650,6
recommended,off,1650,1680,3
recommended,off,1680,1710,7
recommended,off,1710,1740,3
recommended,off,1740,1770,1
recommended,off,1770,1800,530
recommended,land,-1800,-1770,533
recommended,land,-1770,-1740,6
recommended,land,-1740,-1710,4
recommended,land,-1710,-1680,5
recommended,land,-1680,-1650,6
recommended,land,-1650,-1620,5
recommended,land,-1620,-1590,5
recommended,land,-1590,-1560,1
recommended,land,-1560,-1530,5
recommended,land,-1530,-1500,4
recommended,land,-1500,-1470,1
recommended,land,-1470,-1440,3
recommended,land,-1440,-1410,2
recommended,land,-1410,-1380,4
recommended,land,-1380,-1350,4
recommended,land,-1350,-1320,5
recommended,land,-1320,-1290,4
recommended,land,-1290,-1260,0
recommended,land,-1260,-1230,2
recommended,land,-1230,-1200,1
recommended,land,-1200,-1170,2
recommended,land,-1170,-1140,5
recommended,land,-1140,-1110,4
recommended,land,-1110,-1080,3
recommended,land,-1080,-1050,5
recommended,land,-1050,-1020,2
recommended,land,-1020,-990,3
