callsign_lookback_minutes,clean_match_pct,completeness,fragmented_pct,gap_minutes,homogeneity,land_err_p50_s,land_err_p90_s,land_signed_p10_s,land_signed_p50_s,land_signed_p90_s,low_alt_ft,low_alt_gap_minutes,merged_pct,n_apdf_flights,n_flights,n_tracks,off_err_p50_s,off_err_p90_s,off_signed_p10_s,off_signed_p50_s,off_signed_p90_s,period
0.0,82.88535564853557,0.9967193963272087,5.4281729428172945,40,0.9937093153524532,410.0,4168.0,118.0,365.0,1102.0,10000,20,11.68647140864714,35398,89625,89111,134.0,3748.0,-1368.0,-2.0,94.0,2025
5.0,82.7949790794979,0.995718174758611,6.85299860529986,40,0.9945881869875948,412.0,2513.0,68.0,362.0,1028.0,10000,20,10.352022315202232,35398,89625,92651,141.0,3211.0,-1325.0,-1.0,109.0,2025
10.0,82.8418410041841,0.9957170813359243,6.855230125523012,40,0.9946170954359755,412.0,2441.0,68.0,362.0,1024.0,10000,20,10.302928870292886,35398,89625,92678,141.0,3189.0,-1321.0,-1.0,109.0,2025
15.0,82.91101813110181,0.995716394098698,6.861924686192468,40,0.9946635941835846,412.0,2334.0,68.0,362.0,1022.0,10000,20,10.227057182705718,35398,89625,92721,141.0,3160.0,-1321.0,-1.0,109.0,2025
30.0,85.05439330543933,0.9957190294286743,6.937796373779637,40,0.99596227354637,412.0,1634.0,68.0,362.0,962.0,10000,20,8.007810320781033,35398,89625,93917,141.0,1917.0,-1095.0,-1.0,109.0,2025
60.0,87.00585774058577,0.9956560733746729,11.904044630404464,40,0.9997462494365702,410.0,1116.0,68.0,361.0,870.0,10000,20,1.0900976290097628,35398,89625,101574,125.0,985.0,-831.0,1.0,109.0,2025
120.0,73.39916317991631,0.9953730528191866,25.526359832635983,40,0.9997554446685584,410.0,1116.0,68.0,361.0,870.0,10000,20,1.0744769874476987,35398,89625,114368,111.0,975.0,-821.0,4.0,114.0,2025
20.0,83.02928870292887,0.9957166646463856,6.8686192468619245,40,0.9947342107959097,412.0,2185.0,68.0,362.0,1018.0,10000,20,10.102092050209205,35398,89625,92795,141.0,3066.0,-1305.0,-1.0,109.0,2025
25.0,83.54588563458856,0.9957166872905391,6.889818688981869,40,0.9950603653308127,412.0,1904.0,68.0,362.0,998.0,10000,20,9.564295676429568,35398,89625,93107,141.0,2709.0,-1235.0,-1.0,109.0,2025
35.0,87.59163179916318,0.9957235724430634,7.06834030683403,40,0.9974309740670543,411.0,1299.0,68.0,362.0,917.0,10000,20,5.340027894002789,35398,89625,95263,139.0,1266.0,-961.0,-1.0,109.0,2025
40.0,90.98465829846583,0.9957280796526915,7.417573221757322,40,0.9994749098821929,410.0,1118.0,68.0,361.0,870.0,10000,20,1.5977684797768479,35398,89625,97232,136.0,1016.0,-853.0,-1.0,109.0,2025
45.0,90.7068340306834,0.9957181785998459,8.126080892608089,40,0.9997014178380825,410.0,1117.0,68.0,361.0,870.0,10000,20,1.1670850767085077,35398,89625,98057,134.0,992.0,-841.0,-1.0,109.0,2025
50.0,89.67810320781032,0.9957010228721246,9.216178521617852,40,0.9997375566516487,410.0,1116.0,68.0,361.0,870.0,10000,20,1.1057182705718271,35398,89625,99088,131.0,988.0,-836.0,0.0,109.0,2025
